L,d,J,Jprop,NX,NY,rR_random,rH_random,rR_hosthost,rH_phagephage,rH_phagehost,rH_3body,GenePersisentTime,mean_establish_size,persTimeHost,persTimePhage,gapTimeHost,gapTimePhage,theta_GH,theta_GP,theta_gH,theta_gP,theta_GH_rel,theta_GP_rel,theta_gH_rel,theta_gP_rel
30.0,2.0,1.0,1.0,1.0e6,1.0e6,0.0,0.0,6.0e-6,0.0,6.0e-6,0.0,9844.0,42531.07843137255,3361.6341463414633,3134.0,0.0,0.0,45178.158656913496,45788.99256243677,42917.695601284984,44777.07588652502,9.18229409935577,10.884356271771484,0.6437553502244646,0.6716067820451519
30.0,2.0,1.0,1.0,1.0e6,1.0e6,0.0,0.0,1.2e-5,0.0,1.2e-5,0.0,9160.0,34203.84251968504,2773.7441860465115,2720.9606299212596,0.0,962.0,22883.032208304227,21147.57167379342,23319.92112800835,21453.07943075394,5.905576283508439,5.996945301731884,0.34979624796140635,0.3217862425097788
30.0,2.0,1.0,1.0,1.0e6,1.0e6,0.0,0.0,1.8e-5,0.0,1.8e-5,0.0,47019.0,29420.615051434757,3106.482253521127,3056.3300865800866,5333.585820895522,5408.554140127389,26093.741779730077,27970.628930513416,27155.186091334657,29126.475443259347,5.701754964039461,6.270991066571915,0.4073258079535442,0.4364772223229028
30.0,2.0,1.0,1.0,1.0e6,1.0e6,0.0,0.0,2.4e-5,0.0,2.4e-5,0.0,31438.0,22368.80402788536,3189.185633575464,3113.1115414407436,3966.028430160692,3920.3728222996515,19759.46584354741,20667.19343044626,19789.434332878165,20946.68755952363,5.179079536626431,5.632342549018771,0.2968335013149238,0.31419721027345315
30.0,2.0,1.0,1.0,1.0e6,1.0e6,0.0,0.0,3.0e-5,0.0,3.0e-5,0.0,200000.0,17846.19872428353,3452.4426155376686,3417.1679691008712,4026.2432686876296,4036.8092166760143,16245.956438757323,16976.34287326817,16152.546435252762,17201.407165702105,4.688631852056172,5.004687274463271,0.24228613299464485,0.2580191128554924
30.0,2.0,1.0,1.0,1.0e6,1.0e6,0.0,0.0,3.6e-5,0.0,3.6e-5,0.0,200000.0,15135.680141784116,3598.439945443696,3559.587193115667,3460.00690509915,3461.823436678928,13909.1023729082,14388.85502589386,13812.731495079735,14766.855478624837,4.366422662210522,4.602231738646305,0.20718908620910415,0.22150185171671746
30.0,2.0,1.0,1.0,1.0e6,1.0e6,0.0,0.0,4.2e-5,0.0,4.2e-5,0.0,200000.0,12915.130014737188,3817.058726899384,3798.11796005239,2976.323764906303,2991.5743145743145,11897.421461078031,12313.892700167562,11671.957275245684,12561.951790932999,3.9905993251192178,4.20378080325614,0.17507959496737077,0.18842797846634982
30.0,2.0,1.0,1.0,1.0e6,1.0e6,0.0,0.0,4.8e-5,0.0,4.8e-5,0.0,200000.0,11296.903174853893,3970.695697128768,3941.8697094125077,2621.688581314879,2618.781012347698,10466.057099898539,10797.73907484,10177.2247037015,10856.72235743401,3.6915092330222667,3.8641465685170617,0.15265885118058703,0.1628500132838299
30.0,2.0,1.0,1.0,1.0e6,1.0e6,0.0,0.0,5.4e-5,0.0,5.4e-5,0.0,200000.0,10022.352024922118,4198.41862489121,4143.383477380674,2345.3976565060634,2313.7753868471955,9299.846463421338,9548.900298008697,8921.2275512823,9547.183731385616,3.4145346554501157,3.5531134722659297,0.13381824473724305,0.1432066370725168
30.0,2.0,1.0,1.0,1.0e6,1.0e6,0.0,0.0,6.0e-5,0.0,6.0e-5,0.0,200000.0,9215.909769176964,4314.671896955503,4312.974199564812,2127.4764444444445,2123.318909354138,8594.42328774133,8786.272920322785,8228.603898442443,8774.83932817633,3.245940357620547,3.356911511789457,0.12342860591719582,0.1316219378989738
30.0,2.0,1.0,1.0,1.0e6,1.0e6,0.0,0.0,6.6e-5,0.0,6.6e-5,0.0,200000.0,8336.349485018727,4549.9077586206895,4529.966224648986,1926.9641379310344,1925.74727492935,7782.946571513793,7994.145773359526,7487.822089678481,8096.404183708994,3.013174430467423,3.1231139105006287,0.11231731410394127,0.121445628291711
30.0,2.0,1.0,1.0,1.0e6,1.0e6,0.0,0.0,7.2e-5,0.0,7.2e-5,0.0,200000.0,7677.473880006332,4762.5310322989235,4784.0765273820825,1765.685660408297,1744.5401196623227,7163.437543066335,7328.319597358368,7017.819482874519,7538.998306394901,2.8289275297886407,2.9204829861341164,0.1052670449260027,0.11308511736069328
30.0,2.0,1.0,1.0,1.0e6,1.0e6,0.0,0.0,7.8e-5,0.0,7.8e-5,0.0,200000.0,7095.984984984985,4942.428126994257,4893.9713179519595,1634.1456904388067,1627.7050977825056,6707.345409407013,6852.01914521465,6566.210380773022,7061.456039148609,2.6860366698952083,2.765704638006898,0.09849340678083811,0.10592176340129203
30.0,2.0,1.0,1.0,1.0e6,1.0e6,0.0,0.0,8.4e-5,0.0,8.4e-5,0.0,200000.0,6618.602730819246,5233.755819672131,5211.945076373091,1490.888057798555,1472.667143940032,6199.726758746614,6305.504289493069,6002.504752294249,6476.304734341518,2.5201507733954127,2.5814528401924486,0.09003790568083662,0.0971442729382123
30.0,2.0,1.0,1.0,1.0e6,1.0e6,0.0,0.0,9.0e-5,0.0,9.0e-5,0.0,200000.0,6210.112337341459,5390.764593698176,5368.106307641634,1387.3705806451612,1377.4217268767616,5904.754501874831,6024.613575156015,5886.864138935615,6410.315161952383,2.4234458754596178,2.489366987704285,0.0883028012085073,0.0961549114778451
30.0,2.0,1.0,1.0,1.0e6,1.0e6,0.0,0.0,9.6e-5,0.0,9.6e-5,0.0,200000.0,5836.633623973588,5652.603775181988,5655.5426081069645,1270.3929167765182,1277.6302934457915,5497.337616306508,5596.266599004095,5594.619794118355,6039.432667626833,2.277030024077596,2.3302368324401836,0.08391975686175188,0.09059138832764388
