L,d,J,Jprop,NX,NY,rR_random,rH_random,rR_hosthost,rH_phagephage,rH_phagehost,rH_3body,GenePersisentTime,mean_establish_size,persTimeHost,persTimePhage,gapTimeHost,gapTimePhage,theta_GH,theta_GP,theta_gH,theta_gP,constraint,soft_threshold
30,2,0.002,0.9,1000000,1.0e6,0.0,0.0,0.0001,0.0,0.0001,0.0,300000,5783.846589586405,6244.091927585695,6666.6143532511815,1527.6521505788546,1421.7766281681104,5632.435944988118,5167.404640719242,5821.556450150315,5782.315079744033,hard,5.0
30,2,0.002,3.0,1000000,1.0e6,0.0,0.0,0.001,0.0,0.001,0.0,300000,0,0,0,0,0,381.8358829580737,1079.6153357359954,723.1384219391207,2323.095955235898,hard,5.0
30,2,0.002,2.5,1000000,1.0e6,0.0,0.0,0.0005,0.0,0.0005,0.0,300000,1462.0833333333333,44007.0,72474.02777777778,0,22.838709677419356,736.8795603255302,1807.5160107568545,1118.776451991612,2962.7684616462634,hard,5.0
30,2,0.002,2.2,1000000,1.0e6,0.0,0.0,0.001,0.0,0.001,0.0,300000,0,0,0,0,0,429.07682360978754,898.9324925423014,885.0701069576559,2165.1283546295913,hard,5.0
30,2,0.002,1.1,1000000,1.0e6,0.0,0.0,0.0005,0.0,0.0005,0.0,300000,1743.857142857143,64717.148148148146,118558.09523809524,231.0,64.0,1087.3120114404728,1209.9296695124315,1978.812539867797,2573.5535515430893,hard,5.0
30,2,0.002,0.6,1000000,1.0e6,0.0,0.0,5.0e-5,0.0,5.0e-5,0.0,300000,12655.793050928129,4823.674631242991,6389.67383071388,4303.254884387883,3554.4658832823147,13047.929497738152,8008.7077344544305,13369.632629536989,8892.67245724221,hard,5.0
30,2,0.002,2.4,1000000,1.0e6,0.0,0.0,0.0001,0.0,0.0001,0.0,300000,4580.157482099157,9071.54560661222,3665.875028320268,957.0307360197369,1151.8414070444671,3128.0893185530394,7294.989200605686,3105.0327463515464,7540.8343674528505,hard,5.0
30,2,0.002,0.5,1000000,1.0e6,0.0,0.0,5.0e-5,0.0,5.0e-5,0.0,300000,13627.808903597737,5013.648030739673,7156.86511627907,5151.488020050126,3887.7994459833794,14524.296926244857,7405.763632413142,14633.828827511645,8376.407944649694,hard,5.0
30,2,0.002,2.7,1000000,1.0e6,0.0,0.0,0.0001,0.0,0.0001,0.0,300000,4527.802484262115,9620.445348352107,3368.257752429235,939.5933573691685,1124.3776630083926,2936.5398984186945,7615.538295213641,2997.4423276213893,8060.489756643128,hard,5.0
30,2,0.002,2.7,1000000,1.0e6,0.0005,0.0005,0.0,0.0,0.0,0.0,300000,1313.2,0,49278.4,0,11.0,644.6766543581348,1694.441093417601,597.1135607906161,1575.7016630599792,hard,5.0
30,2,0.002,1.2,1000000,1.0e6,0.0,0.0,0.0005,0.0,0.0005,0.0,300000,1138.2777777777778,59408.1,76340.61111111111,3.0,9.333333333333334,1041.9240816720758,1263.4586858745563,1878.8498174754568,2633.5188895160836,hard,5.0
30,2,0.002,0.9,1000000,1.0e6,0.0,0.0,5.0e-5,0.0,5.0e-5,0.0,300000,11398.207065096645,4522.268525896415,4774.818545104714,3166.2043380703067,3057.8330784523628,10693.990611778685,9879.592731690831,10533.311365440539,10217.03069557509,hard,5.0
30,2,0.002,3.0,1000000,1.0e6,0.0,0.0,0.0005,0.0,0.0005,0.0,300000,1507.5597826086957,149695.0,74554.43478260869,0,19.09090909090909,679.1773354492411,1989.7427182529068,953.9281239581978,2976.2580778599713,hard,5.0
30,2,0.002,1.8,1000000,1.0e6,0.0,0.0,0.001,0.0,0.001,0.0,300000,0,0,0,0,0,463.7372844222673,807.5406450938659,1003.0920741964001,2062.9929427421253,hard,5.0
30,2,0.002,0.8,1000000,1.0e6,0.0,0.0,0.0001,0.0,0.0001,0.0,300000,5932.742435735356,6163.885523652448,7286.656507829601,1680.0856323620583,1459.6705409420606,6036.9282795536565,4904.899896562673,6314.562566296972,5597.351413158409,hard,5.0
30,2,0.002,1.7,1000000,1.0e6,0.0,0.0,0.0001,0.0,0.0001,0.0,300000,4924.781030191538,7410.151126459464,4462.370692919349,1083.7386373326513,1260.1521161090184,3904.05226843996,6619.039849486109,3931.214211575845,7020.124001724627,hard,5.0
30,2,0.002,2.1,1000000,1.0e6,0.0,0.0,0.0005,0.0,0.0005,0.0,300000,1542.5853658536585,90751.25,78264.0243902439,1.0,32.714285714285715,795.298941841083,1650.9011682052715,1275.4164155294372,2898.5841381876226,hard,5.0
30,2,0.002,2.0,1000000,1.0e6,0.0,0.0,0.0005,0.0,0.0005,0.0,300000,1572.5535714285713,81013.0,72532.16071428571,0,26.88888888888889,809.9691929497925,1599.7935812341184,1246.6757860349999,2687.025748518015,hard,5.0
30,2,0.002,2.3,1000000,1.0e6,0.0,0.0,5.0e-5,0.0,5.0e-5,0.0,300000,8808.432924981602,4912.010316052303,2464.6702017141374,2006.031047077922,2161.7011955706535,6399.034682799642,14517.764183581974,6272.91538291485,14973.520826764689,hard,5.0
30,2,0.002,2.2,1000000,1.0e6,0.0,0.0,5.0e-5,0.0,5.0e-5,0.0,300000,8947.16261632779,4844.077113617104,2516.113659418692,2039.0930497786126,2205.3543933806995,6622.741853750432,14433.144518407138,6554.716072839846,14922.783486995108,hard,5.0
30,2,0.002,1.2,1000000,1.0e6,5.0e-5,5.0e-5,0.0,0.0,0.0,0.0,300000,9990.252162629758,4555.623032147109,3981.777105084327,2434.037049649254,2585.183722701879,8861.207092464041,10862.969403377634,8562.588247053043,10469.159222618024,hard,5.0
30,2,0.002,3.0,1000000,1.0e6,0.0001,0.0001,0.0,0.0,0.0,0.0,300000,4117.849347861978,11512.08547008547,3389.1770192744234,798.2090861482063,1002.2276204085064,2543.762492231738,7275.235136858132,2414.1096339371043,6921.046418697148,hard,5.0
