L,d,J,Jprop,NX,NY,rR_random,rH_random,rR_hosthost,rH_phagephage,rH_phagehost,rH_3body,GenePersisentTime,mean_establish_size,persTimeHost,persTimePhage,gapTimeHost,gapTimePhage,theta_GH,theta_GP,theta_gH,theta_gP,constraint,soft_threshold
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,5.0e-5,0.0,9.5e-5,0.0,200000,7245.026224111919,1691.843949677676,1657.7397279060838,1564.248017889815,1491.050703514771,7161.547122491249,7877.683675271422,7316.365519942409,7922.945576422798,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,5.0e-5,0.0,8.5e-5,0.0,200000,7802.048487037706,1685.8223430577134,1640.4662406223952,1619.448437224086,1552.3568020448736,7587.423479172942,8352.921778819311,7618.160083323191,8318.962633650995,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,5.0e-5,0.0,0.00013000000000000002,0.0,200000,5586.71279790083,1812.9725085910652,1784.8560608109935,1446.69838227179,1320.6297565424047,5993.143283533547,6603.480946739643,6151.702814925461,6593.555292188492,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.001,0.0,0.0007,0.0,200000,1341.4033333333334,44247.01388888889,41435.25666666667,21.8,28.127906976744185,685.079096990147,697.9798711687315,1421.2740059789737,1610.7651963069884,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.001,0.0,0.0021000000000000003,0.0,200000,0,49377.0,0,0,0,369.98240402736576,355.1741336565326,619.0668934748637,772.9649345855265,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0001,0.0,0.00043,0.0,200000,1208.9102378028358,3904.6140358236503,5662.390085966284,774.6537143848388,441.2122096416482,2046.282970433187,2151.208324112978,2047.0362206925042,2236.9864837945684,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0001,0.0,0.00018,0.0,200000,3382.6145436053903,2402.63769907434,2440.4621730041245,870.9952067282244,770.0335952394707,3638.556359841813,3843.3178985268373,3517.2357555072426,3795.542780101077,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0001,0.0,0.00029,0.0,200000,2025.9567206318573,3034.263254486134,3422.4090275544118,805.166108085463,598.9348185728466,2693.1727831506228,2849.530687343938,2648.8630601161167,2869.2126070138092,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0005,0.0,0.00215,0.0,200000,0,42308.65650969529,0,73.51351351351352,0,448.21446090144303,417.83114210316546,597.2177572123435,753.7253780763218,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0005,0.0,0.002,0.0,200000,0,40950.491416309014,0,64.04242424242425,0,468.9304193802381,441.2104414961342,617.9220653051193,768.6245585617588,hard,5.0
