L,J,NX,NY,rR_random,rH_random,rR_hosthost,rH_phagephage,rH_phagehost,rH_3body,GenePersisentTime
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.16227766016837e-06,0.0,3.16227766016837e-06,0.0,5015.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.98107170553497e-06,0.0,3.98107170553497e-06,0.0,5482.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,4.46683592150963e-06,0.0,4.46683592150963e-06,0.0,5380.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,6.30957344480193e-06,0.0,6.30957344480193e-06,0.0,6130.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,7.07945784384137e-06,0.0,7.07945784384137e-06,0.0,8588.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1.258925411794167e-05,0.0,1.258925411794167e-05,0.0,295880.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1.778279410038922e-05,0.0,1.778279410038922e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,2.51188643150958e-05,0.0,2.51188643150958e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.162277660168379e-05,0.0,3.162277660168379e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.548133892335754e-05,0.0,3.548133892335754e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.981071705534972e-05,0.0,3.981071705534972e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,7.079457843841379e-05,0.0,7.079457843841379e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,0.0001,0.0,0.0001,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,1.778279410038922e-05,1.778279410038922e-05,0.0,0.0,0.0,0.0,4117.0
20.0,5.0,1000000.0,1000000.0,8.91250938133745e-06,8.91250938133745e-06,0.0,0.0,0.0,0.0,2678.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.16227766016837e-06,0.0,0.0,3.16227766016837e-06,4756.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,5.01187233627272e-06,0.0,0.0,5.01187233627272e-06,5704.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,6.30957344480193e-06,0.0,0.0,6.30957344480193e-06,6479.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,8.91250938133745e-06,0.0,0.0,8.91250938133745e-06,5843.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1.122018454301963e-05,0.0,0.0,1.122018454301963e-05,7522.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1.412537544622754e-05,0.0,0.0,1.412537544622754e-05,9974.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,2.238721138568339e-05,0.0,0.0,2.238721138568339e-05,436147.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,2.818382931264453e-05,0.0,0.0,2.818382931264453e-05,4468595.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.548133892335754e-05,0.0,0.0,3.548133892335754e-05,10000000.0
