L,d,J,Jprop,NX,NY,rR_random,rH_random,rR_hosthost,rH_phagephage,rH_phagehost,rH_3body,GenePersisentTime,mean_establish_size,persTimeHost,persTimePhage,gapTimeHost,gapTimePhage,theta_GH,theta_GP,theta_gH,theta_gP,constraint,soft_threshold
30,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0001,0.0,0.0001,0.0,200000,5682.6272770689775,3699.986888828189,3700.268472402265,552.9980294179745,551.2098157783715,5378.735703903818,5546.441718363262,5108.264171013314,5460.436895383572,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,2.51188643150958e-5,2.51188643150958e-5,0.0,0.0,0.0,0.0,200000,20318.21825220537,1974.4934623766185,1915.4217173319794,2125.6980945473724,2146.225362224253,18820.527257393995,20793.184335284044,18758.394475847796,20696.626228500572,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.000251188643150958,0.000251188643150958,0.0,0.0,0.0,0.0,200000,2673.5110169491527,26662.84458398744,26720.443220338984,76.10616438356165,67.94073139974779,2048.440670090195,2072.906160419724,1919.650126706075,1940.8138472382275,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.000251188643150958,0.000251188643150958,0.0,0.0,200000,3089.733016304348,16552.800412229473,16213.158967391304,144.04756146715033,128.92194344882517,2371.2463482936923,2403.490117435366,3169.4283937344617,3410.975820236333,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.00015848931924611134,0.0,0.00015848931924611134,0.0,200000,3728.41122176342,6819.568334937439,6851.535883424408,292.98692395582077,278.73679487179487,3447.7628094496527,3522.5476515697974,3502.491270731787,3770.063962273686,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.0,0.0,3.98107170553497e-6,0.0,3.98107170553497e-6,0.0,55528,0,0,0,0,0,NaN,NaN,NaN,NaN,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.00039810717055349724,0.0,0.00039810717055349724,0.0,200000,2018.126984126984,39817.717948717946,52406.857142857145,83.10714285714286,29.846153846153847,1423.9298899745052,1439.0734269303684,1989.759048687985,2170.832122176449,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.0,0.0,3.98107170553497e-6,3.98107170553497e-6,0.0,0.0,55758,0,0,0,0,0,NaN,NaN,NaN,NaN,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.0039810717055349725,0.0039810717055349725,0.0,0.0,0.0,0.0,200000,0,0,0,0,0,127.4315943828058,126.95545649291775,118.03462531288457,116.49477583566575,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.0015848931924611134,0.0015848931924611134,0.0,0.0,0.0,0.0,200000,0,0,0,0,0,316.5602586972573,317.77667212076614,301.7963993039072,300.42099833671983,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.0,0.0,3.981071705534972e-5,0.0,3.981071705534972e-5,0.0,200000,14000.309827039653,2111.190454673821,2064.3525191858525,1494.153445280834,1489.6020402347979,12924.18551493531,13876.790664638136,12802.988513627297,13905.584744141146,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,1.0e-6,1.0e-6,0.0,0.0,0.0,0.0,54640,0,0,0,0,0,NaN,NaN,NaN,NaN,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.00039810717055349724,0.00039810717055349724,0.0,0.0,200000,2475.8537414965986,37708.05357142857,39340.28911564626,58.19117647058823,60.626168224299064,1596.0783154252601,1608.1894077330574,2976.613316981137,3192.4938007176047,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.00039810717055349724,0.00039810717055349724,0.0,0.0,0.0,0.0,200000,2184.4285714285716,65419.6,41501.71428571428,0,0,1286.4920034704867,1297.8796153169885,1218.3447879082628,1221.7956684014814,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0251188643150958,0.0251188643150958,0.0,0.0,200000,0,0,0,0,0,101.13892555671436,101.70016387816337,1121.3594778663494,1127.9507788342612,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,3.98107170553497e-6,3.98107170553497e-6,0.0,0.0,0.0,0.0,55200,0,0,0,0,0,NaN,NaN,NaN,NaN,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0015848931924611134,0.0015848931924611134,0.0,0.0,200000,0,0,0,0,0,586.1377436299733,586.663595938836,3318.038075549425,3483.4947026075342,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.0,0.0,6.309573444801932e-5,0.0,6.309573444801932e-5,0.0,200000,8771.028849902534,2625.878181410472,2596.28413900646,922.9914382577716,922.0511957080075,8216.274014314502,8597.528524986417,7892.143313579925,8465.22808633538,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.001,0.0,0.001,0.0,200000,0,0,0,0,0,588.9877839550247,600.4936869371717,1277.5133986297053,1441.8582520468958,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.0,0.0,1.584893192461113e-5,0.0,1.584893192461113e-5,0.0,64545,0,0,0,0,0,NaN,NaN,NaN,NaN,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.001,0.001,0.0,0.0,0.0,0.0,200000,0,0,0,0,0,506.07989060859165,507.70620923584744,462.41226526955427,465.5095336308476,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0039810717055349725,0.0,0.0039810717055349725,0.0,200000,0,0,0,0,0,152.94146701451,161.27052951289468,412.2632353150521,536.8929502999637,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.015848931924611134,0.015848931924611134,0.0,0.0,200000,0,0,0,0,0,151.63579318434918,152.25601844758404,1658.1989963177282,1667.3287262449549,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.0,0.0,2.51188643150958e-6,0.0,2.51188643150958e-6,0.0,55851,0,0,0,0,0,NaN,NaN,NaN,NaN,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.0,0.0,1.0e-6,0.0,1.0e-6,0.0,54945,0,0,0,0,0,NaN,NaN,NaN,NaN,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,6.30957344480193e-6,6.30957344480193e-6,0.0,0.0,0.0,0.0,58894,0,0,0,0,0,NaN,NaN,NaN,NaN,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.00015848931924611134,0.00015848931924611134,0.0,0.0,0.0,0.0,200000,3692.93717754173,8276.901444097068,8462.070409711685,222.13594396688953,221.23931762794476,3182.1008308959654,3237.343892171216,3010.8297669660724,3068.7478758113284,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,1.0e-5,1.0e-5,0.0,0.0,0.0,0.0,60529,0,0,0,0,0,NaN,NaN,NaN,NaN,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0025118864315095803,0.0025118864315095803,0.0,0.0,200000,0,0,0,0,0,461.004811944635,462.11586871275944,3403.142685120025,3534.0958525042975,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0015848931924611134,0.0,0.0015848931924611134,0.0,200000,0,0,0,0,0,377.33030806279254,387.26677710904994,909.5942915984766,1068.5450513298786,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0006309573444801932,0.0006309573444801932,0.0,0.0,200000,2438.0,67519.71428571429,40233.71428571428,0,1.0,1089.9061724630317,1094.6725899359162,3107.4486204181503,3299.8172462093526,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0001,0.0001,0.0,0.0,200000,6495.508482469563,3591.469001610306,3563.5407491184883,586.4022392701638,581.620786516854,5932.08357444407,6127.289060309161,6085.662266694021,6509.605279295686,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.015848931924611134,0.015848931924611134,0.0,0.0,0.0,0.0,200000,0,0,0,0,0,32.64467669549242,32.72538096308435,30.65660650715228,30.60781677680201,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.006309573444801933,0.006309573444801933,0.0,0.0,0.0,0.0,200000,0,0,0,0,0,80.37878396059551,80.59388132224085,76.44147514933125,75.79997348511871,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.0025118864315095803,0.0025118864315095803,0.0,0.0,0.0,0.0,200000,0,0,0,0,0,200.42598148106688,200.75629217877955,189.82978264148807,188.6169952008192,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0039810717055349725,0.0039810717055349725,0.0,0.0,200000,0,0,0,0,0,369.0416055433216,372.6022979740454,3270.19185826107,3376.2292768159114,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.01,0.0,0.01,0.0,200000,0,0,0,0,0,62.72750177476472,69.090451611989,186.06933451333788,273.90363659174847,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.0251188643150958,0.0251188643150958,0.0,0.0,0.0,0.0,200000,0,0,0,0,0,21.130672349096205,21.114750413479015,19.8294434996142,19.874216754735443,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.0,0.0,2.51188643150958e-5,0.0,2.51188643150958e-5,0.0,139473,22099.722424242424,1834.485043263288,1774.757149781871,2168.8795013850417,2199.6819290165267,19768.484976281423,22150.696203199117,19227.752107631182,21673.113036182363,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.0,0.0,3.981071705534972e-5,3.981071705534972e-5,0.0,0.0,70772,0,0,0,0,0,NaN,NaN,NaN,NaN,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,1.584893192461113e-5,1.584893192461113e-5,0.0,0.0,0.0,0.0,200000,33165.861463015935,1819.225717852684,1712.018716796077,3463.6719343696027,3483.0074576271186,31053.551865371017,36183.684541101335,31471.88001540619,36360.99012295425,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.001,0.001,0.0,0.0,200000,0,0,0,0,0,783.2584019259419,784.3111478673694,3248.3409628401396,3426.4320973187737,hard,5.0
30,2,0.005,1.0,1000000,1.0e6,0.0,0.0,1.58489319246111e-6,1.58489319246111e-6,0.0,0.0,55057,0,0,0,0,0,NaN,NaN,NaN,NaN,hard,5.0
