L,d,J,Jprop,NX,NY,rR_random,rH_random,rR_hosthost,rH_phagephage,rH_phagehost,rH_3body,simulation_time,GenePersisentTime,mean_establish_size,persTimeHost,persTimePhage,gapTimeHost,gapTimePhage,theta_GH,theta_GP,theta_gH,theta_gP,constraint,soft_threshold,mean_host_N,std_host_N,mean_phage_N,std_phage_N
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,7.94328234724281e-6,7.94328234724281e-6,0.0,0.0,500000,8392,0,3392.0,3392.0,0,0,NaN,NaN,NaN,NaN,hard,5.0,0.0,0.0,0.0,0.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,7.94328234724281e-6,7.94328234724281e-6,0.0,0.0,500000,9068,0,4068.0,4068.0,0,0,NaN,NaN,NaN,NaN,hard,5.0,0.0,0.0,0.0,0.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,7.94328234724281e-6,7.94328234724281e-6,0.0,0.0,500000,10564,8171.875,5497.569230769231,5469.682051282051,0,0,50052.852611817536,64159.217699720466,105391.31152268026,150907.71297732214,hard,5.0,101549.75107836089,302089.4312958862,101538.5294751977,302056.02273522853
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,7.94328234724281e-6,7.94328234724281e-6,0.0,0.0,500000,8455,0,3455.0,3455.0,0,0,NaN,NaN,NaN,NaN,hard,5.0,0.0,0.0,0.0,0.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,7.94328234724281e-6,7.94328234724281e-6,0.0,0.0,500000,8100,0,3100.0,3100.0,0,0,NaN,NaN,NaN,NaN,hard,5.0,0.0,0.0,0.0,0.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,1.0e-5,1.0e-5,0.0,0.0,500000,8505,0,3505.0,3505.0,0,0,NaN,NaN,NaN,NaN,hard,5.0,0.0,0.0,0.0,0.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,1.0e-5,1.0e-5,0.0,0.0,500000,8538,0,3538.0,3538.0,0,0,NaN,NaN,NaN,NaN,hard,5.0,0.0,0.0,0.0,0.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,1.0e-5,1.0e-5,0.0,0.0,500000,8897,0,3897.0,3897.0,0,0,NaN,NaN,NaN,NaN,hard,5.0,0.0,0.0,0.0,0.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,1.0e-5,1.0e-5,0.0,0.0,500000,10962,28468.19230769231,5768.870512820513,5726.01282051282,0,0,71651.51040965159,107165.17885381055,115705.32850270701,155534.00678863603,hard,5.0,161529.15850385776,368057.96577025106,161537.70546796377,368077.42225964915
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,1.0e-5,1.0e-5,0.0,0.0,500000,9235,0,4235.0,4235.0,0,0,NaN,NaN,NaN,NaN,hard,5.0,0.0,0.0,0.0,0.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,1.258925411794167e-5,1.258925411794167e-5,0.0,0.0,500000,9166,0,4166.0,4166.0,0,0,NaN,NaN,NaN,NaN,hard,5.0,0.0,0.0,0.0,0.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,1.258925411794167e-5,1.258925411794167e-5,0.0,0.0,500000,11229,487.07142857142856,6006.266325224072,6101.525641025641,5.0,0,41146.63941122904,379329.13588803774,112854.07908516693,541858.0448346302,hard,5.0,197459.8759030342,398109.9524690366,197456.62883287846,398103.38868572767
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,1.258925411794167e-5,1.258925411794167e-5,0.0,0.0,500000,9852,0,4852.0,4852.0,0,0,NaN,NaN,NaN,NaN,hard,5.0,0.0,0.0,0.0,0.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,1.258925411794167e-5,1.258925411794167e-5,0.0,0.0,500000,9161,0,4161.0,4161.0,0,0,NaN,NaN,NaN,NaN,hard,5.0,0.0,0.0,0.0,0.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,1.258925411794167e-5,1.258925411794167e-5,0.0,0.0,500000,9643,0,4643.0,4643.0,0,0,NaN,NaN,NaN,NaN,hard,5.0,0.0,0.0,0.0,0.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,1.584893192461113e-5,1.584893192461113e-5,0.0,0.0,500000,9588,0,4588.0,4588.0,0,0,NaN,NaN,NaN,NaN,hard,5.0,0.0,0.0,0.0,0.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,1.584893192461113e-5,1.584893192461113e-5,0.0,0.0,500000,8649,0,3649.0,3649.0,0,0,NaN,NaN,NaN,NaN,hard,5.0,0.0,0.0,0.0,0.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,1.584893192461113e-5,1.584893192461113e-5,0.0,0.0,500000,8940,0,3940.0,3940.0,0,0,NaN,NaN,NaN,NaN,hard,5.0,0.0,0.0,0.0,0.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,1.584893192461113e-5,1.584893192461113e-5,0.0,0.0,500000,9829,0,4829.0,4829.0,0,0,NaN,NaN,NaN,NaN,hard,5.0,0.0,0.0,0.0,0.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,1.584893192461113e-5,1.584893192461113e-5,0.0,0.0,500000,9328,0,4328.0,4328.0,0,0,NaN,NaN,NaN,NaN,hard,5.0,0.0,0.0,0.0,0.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,1.995262314968879e-5,1.995262314968879e-5,0.0,0.0,500000,9744,0,4744.0,4744.0,0,0,NaN,NaN,NaN,NaN,hard,5.0,0.0,0.0,0.0,0.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,1.995262314968879e-5,1.995262314968879e-5,0.0,0.0,500000,8996,0,3996.0,3996.0,0,0,NaN,NaN,NaN,NaN,hard,5.0,0.0,0.0,0.0,0.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,1.995262314968879e-5,1.995262314968879e-5,0.0,0.0,500000,10221,1660.9285714285713,5090.4647887323945,4966.133333333333,6.0,0,69627.27634392724,48107.65615463452,228574.07869125987,95941.52401214716,hard,5.0,42522.954031794674,201804.28404759933,42522.60984485731,201802.64556699633
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,1.995262314968879e-5,1.995262314968879e-5,0.0,0.0,500000,10898,5971.535714285715,5740.405128205128,5657.015384615384,0,0,73419.10988521116,60349.94393615032,155129.14868387702,123284.65576794348,hard,5.0,152430.92387249914,359477.65891402506,152431.7577144795,359479.61637754756
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,1.995262314968879e-5,1.995262314968879e-5,0.0,0.0,500000,11754,36361.666666666664,6459.998719590269,6486.305128205128,415.0,0,106695.80277431074,163254.96634549665,171431.09648628483,405462.99934103066,hard,5.0,259872.8235119929,438629.00337882,259880.4469943737,438642.1600627737
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,2.51188643150958e-5,2.51188643150958e-5,0.0,0.0,500000,9729,0,4729.0,4729.0,0,0,NaN,NaN,NaN,NaN,hard,5.0,0.0,0.0,0.0,0.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,2.51188643150958e-5,2.51188643150958e-5,0.0,0.0,500000,11492,6972.333333333333,6153.851282051282,6369.738461538462,0,0,65091.73515035568,386055.4547669086,120232.08823650314,549469.7140712907,hard,5.0,229991.76093653726,420879.4211460952,229971.98197781885,420843.264490531
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,2.51188643150958e-5,2.51188643150958e-5,0.0,0.0,500000,9413,0,4413.0,4413.0,0,0,NaN,NaN,NaN,NaN,hard,5.0,0.0,0.0,0.0,0.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,2.51188643150958e-5,2.51188643150958e-5,0.0,0.0,500000,10476,11710.42857142857,5129.331626120358,5129.867948717949,77.0,0,42131.32518311409,33436.92277991831,88644.57735925668,107071.606813014,hard,5.0,87120.31482834186,282060.1753564435,87105.98520818116,282013.7547694976
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,2.51188643150958e-5,2.51188643150958e-5,0.0,0.0,500000,10776,6812.142857142857,5584.50641025641,5364.994884910486,0,68.0,99937.39253476264,36010.83866231364,222287.86932268195,81876.38969746784,hard,5.0,134534.86738227148,341274.4546458405,134517.62361495846,341230.7370313605
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,3.162277660168379e-5,3.162277660168379e-5,0.0,0.0,500000,11186,5318.983050847458,5725.135549872123,5720.792307692308,83.5,0,61012.94303372906,85966.09263572865,115304.92157220608,203478.21967414176,hard,5.0,191902.82314904622,393851.94787878863,191874.39411574524,393793.5928910175
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,3.162277660168379e-5,3.162277660168379e-5,0.0,0.0,500000,13667,11267.644295302014,7688.062740076824,7180.131545338442,88.0,628.3333333333334,83784.93176542656,58601.94574202412,156945.51532848412,125508.92228968839,hard,5.0,423215.9375793239,494099.5617656639,423221.118841583,494105.57371199346
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,3.162277660168379e-5,3.162277660168379e-5,0.0,0.0,500000,11110,25512.78787878788,5761.442307692308,5830.731113956466,0,225.0,102534.06410886193,345164.54601056257,155343.84733081286,460955.123743422,hard,5.0,181859.8062193126,385796.8652569939,181867.1163666121,385812.59873510094
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,3.162277660168379e-5,3.162277660168379e-5,0.0,0.0,500000,10208,15037.8,4999.008974358974,4933.810499359795,0,22.0,53768.16324546093,112721.47492631794,114227.05500288276,169774.35434467305,hard,5.0,40140.61021505376,196333.699689038,40138.91551459293,196325.42007823414
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,3.162277660168379e-5,3.162277660168379e-5,0.0,0.0,500000,12044,10030.56,6614.306905370844,6119.7375160051215,385.0,168.0,93001.4360266368,45768.254423464314,243257.12873382538,106950.02222294966,hard,5.0,290323.2475865985,453949.8688174495,290341.2318285065,453978.0134121658
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,3.981071705534972e-5,3.981071705534972e-5,0.0,0.0,500000,11132,3528.6867469879517,5898.741025641026,5385.8375959079285,0,105.0,114708.51573690095,12183.027135624361,339137.26371730317,56981.21193491503,hard,5.0,184775.45384866276,388156.280011668,184767.49168297456,388139.514170588
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,3.981071705534972e-5,3.981071705534972e-5,0.0,0.0,500000,11812,6278.308333333333,6495.71318822023,5708.653846153846,49.0,0,173474.0585783748,20300.286696814957,275661.5231235195,62670.44930114824,hard,5.0,266161.5161479742,441997.8355933894,266153.87492660014,441985.13491349726
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,3.981071705534972e-5,3.981071705534972e-5,0.0,0.0,500000,13614,18836.581395348836,7049.434615384615,6658.238156209987,0,590.0,82316.18037884933,92988.43459307737,135805.0713685182,164113.59703726045,hard,5.0,419699.62804736476,493573.5836685507,419701.26480148593,493575.54375809553
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,3.981071705534972e-5,3.981071705534972e-5,0.0,0.0,500000,13075,11511.0,6814.1306017925735,5848.452685421995,292.0,72.5,95313.60328452327,47577.33523208489,178004.5278783768,83836.78647635708,hard,5.0,380961.666625387,485687.63747675455,380971.79281733744,485700.5319733386
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,3.981071705534972e-5,3.981071705534972e-5,0.0,0.0,500000,14044,16430.1335504886,6721.199488491048,5961.457648546144,485.5,732.5454545454545,63494.73837210639,43383.47484786177,115991.6809122693,94187.63804062387,hard,5.0,447295.85968597967,497280.8558488272,447298.1575630252,497283.4525115467
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,5.011872336272722e-5,5.011872336272722e-5,0.0,0.0,500000,14938,13267.22591943958,5318.077403245942,4156.4905437352245,916.9047619047619,1089.2878787878788,102023.93932456204,32931.97854317718,149827.61740946557,61398.79716756972,hard,5.0,497025.1155162004,500060.82841347693,497029.8844837996,500065.6067002112
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,5.011872336272722e-5,5.011872336272722e-5,0.0,0.0,500000,16957,13949.477535301668,4323.708095781072,3603.401682439537,1425.4742268041236,1380.4444444444443,84268.58496624576,27773.15691126475,151905.0174424206,60577.60363698779,hard,5.0,581980.9892113407,493317.97562211513,581938.5464581416,493282.0397186785
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,5.011872336272722e-5,5.011872336272722e-5,0.0,0.0,500000,15887,13116.179138321995,7376.210062893082,5926.288177339901,1136.4666666666667,1184.21875,198473.14875387304,69634.25075235125,279123.7845972504,106400.08226761835,hard,5.0,540856.1252870396,498379.2900220862,540855.1934417195,498378.4225133308
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,5.011872336272722e-5,5.011872336272722e-5,0.0,0.0,500000,15423,14495.726351351352,5204.596319018405,4287.788056206089,983.7714285714286,1213.162162162162,100579.25925067007,45767.10474741383,144668.1335712668,77689.76829481944,hard,5.0,520435.0118967668,499654.449061497,520424.6908759474,499644.5965866964
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,5.011872336272722e-5,5.011872336272722e-5,0.0,0.0,500000,14035,15254.590027700831,6303.91497461929,5391.903465346535,519.0,785.8928571428571,69303.28054911339,68419.4036259917,134656.7676041857,123449.33799896056,hard,5.0,446734.30968456005,497210.6732048933,446768.8350857775,497249.2046516706
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,6.309573444801932e-5,6.309573444801932e-5,0.0,0.0,500000,32978,10353.331113662456,1900.5697365240512,1839.6326857142858,1875.5719392314566,1865.6937413073713,22285.697722566492,16204.653735113889,44703.00955062888,26944.54150265364,hard,5.0,821370.0528629638,383110.48888240143,821376.2246765315,383113.3686728791
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,6.309573444801932e-5,6.309573444801932e-5,0.0,0.0,500000,17000,9651.351648351649,2446.9197145405888,2179.9088,1042.4134897360705,1238.2574468085106,47794.36548289937,10700.78378922873,110237.67719996024,32955.74779549293,hard,5.0,583435.36525,493029.5585896072,583446.7010833333,493039.1448312474
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,6.309573444801932e-5,6.309573444801932e-5,0.0,0.0,500000,22641,10901.582885304659,1918.1170731707316,1810.349579087284,1728.7251968503938,1809.817874069059,33629.51718680388,23234.79292592306,63033.810011684545,42631.73021313416,hard,5.0,716648.7222946545,450664.62170739175,716671.5253103565,450679.01316334505
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,6.309573444801932e-5,6.309573444801932e-5,0.0,0.0,500000,30712,10704.410020986359,1922.7008854454898,1852.046202036022,1935.8687367678194,1950.3333333333333,22359.31941969627,18754.057315531754,45000.01512879915,32743.257770614015,hard,5.0,805617.3513145613,395784.41897239484,805621.093302738,395786.2691420664
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,6.309573444801932e-5,6.309573444801932e-5,0.0,0.0,500000,24379,11068.962724935733,2048.565176908752,1984.3804485823107,1925.279239766082,1988.0404295641188,43997.56186208481,24869.937992410018,83843.19187455301,43428.864965563684,hard,5.0,742094.9329686775,437556.2540288912,742097.8619123794,437558.01774850383
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,1.0e-6,1.0e-6,0.0,0.0,500000,7948,0,2948.0,2948.0,0,0,NaN,NaN,NaN,NaN,hard,5.0,0.0,0.0,0.0,0.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,1.0e-6,1.0e-6,0.0,0.0,500000,8285,0,3285.0,3285.0,0,0,NaN,NaN,NaN,NaN,hard,5.0,0.0,0.0,0.0,0.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,1.0e-6,1.0e-6,0.0,0.0,500000,10089,63216.5,5089.0,5076.044871794872,0,0,61071.56697542276,105603.8803849084,101583.4565112296,155908.68901218995,hard,5.0,17683.92159559835,131808.0410853175,17683.971310670073,131808.4000221865
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,1.0e-6,1.0e-6,0.0,0.0,500000,8339,0,3339.0,3339.0,0,0,NaN,NaN,NaN,NaN,hard,5.0,0.0,0.0,0.0,0.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,1.0e-6,1.0e-6,0.0,0.0,500000,7843,0,2843.0,2843.0,0,0,NaN,NaN,NaN,NaN,hard,5.0,0.0,0.0,0.0,0.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,7.943282347242815e-5,7.943282347242815e-5,0.0,0.0,500000,56707,8203.221249502587,1980.5083316190085,1958.446926819581,1486.8625587116976,1489.7587988375847,12243.734823541054,9882.786518791363,32261.001942944004,16509.169485627946,hard,5.0,903350.3409402982,295534.93966082117,903350.579302609,295535.0103230156
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,7.943282347242815e-5,7.943282347242815e-5,0.0,0.0,500000,500000,8143.44345792809,1928.5054766597027,1953.900072000339,1319.2854430433636,1298.074772969516,9107.043376130056,12289.471560479818,10994.075645970775,16136.969367964588,no,5.0,1.0464971421474747e6,107822.49110015397,1.0887363762464647e6,138883.71413041133
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,7.943282347242815e-5,7.943282347242815e-5,0.0,0.0,500000,500000,8146.253579759555,1973.6447340970728,1934.6753484367432,1508.0602373317986,1507.791759244206,9052.695840911814,10093.367042331576,10346.23275574029,11823.800877340782,hard,5.0,1.0000348878161616e6,1054.4551120953636,1.0000349394282828e6,1056.4915990691986
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,7.943282347242815e-5,7.943282347242815e-5,0.0,0.0,500000,329177,8145.0677645224605,1977.4765964654734,1940.1646050452907,1504.2113068052067,1503.260124632503,10718.736041131058,10296.533159820085,13483.849235778302,12875.24663272157,hard,5.0,984615.7023231136,123227.66693407694,984614.9274532123,123227.57495267867
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,7.943282347242815e-5,7.943282347242815e-5,0.0,0.0,500000,500000,8213.913249881107,1919.2098826038748,1949.1170496424993,1329.9485034123732,1310.932066471765,9460.043074323943,558893.2805715892,11848.731445765468,799127.5310731144,no,5.0,1.046334955579798e6,126568.19895201651,1.1171092496787878e6,1.0776967055829016e6
