L,d,J,Jprop,NX,NY,rR_random,rH_random,rR_hosthost,rH_phagephage,rH_phagehost,rH_3body,simulation_time,GenePersisentTime,mean_establish_size,persTimeHost,persTimePhage,gapTimeHost,gapTimePhage,theta_GH,theta_GP,theta_gH,theta_gP,constraint,soft_threshold,mean_host_N,std_host_N,mean_phage_N,std_phage_N
10,2,0.005,1.0,100000,100000.0,0,0,0.0001,0,0.0001,0.0,250000,250000,6573.266620013996,2981.9635543214163,3008.8789363191045,773.62023977433,764.087095627444,6262.350957750569,6452.652280122225,4935.682055560637,5283.171301920495,hard,5.0,100001.30055918367,332.1127610426698,100001.8831877551,333.03827086841136
10,3,0.005,1.0,100000,100000.0,0,0,8.0e-5,0,8.0e-5,0.0,250000,77344,10430.290986085904,1453.3228782287822,1421.9428743235117,3274.7084993359895,3228.9086195722616,14138.977612818277,13765.754518513713,12389.195598680928,12970.459303863874,hard,5.0,93096.6492176269,25366.519378674693,93097.52694072764,25366.755175750994
10,3,0.005,1.0,1000000,1.0e6,0,0,7.0e-6,0,7.0e-6,0.0,250000,250000,126186.87735605474,2476.8253298153036,2417.2054723799693,4957.979291553133,4864.383590836441,184922.45347910834,164246.48559168525,133565.27554755515,125984.09384910886,hard,5.0,1.0000688957387755e6,1102.1758582160012,1.0000745877469388e6,1104.173886715513
10,2,0.005,1.0,1000000,1.0e6,0,0,7.0e-6,0,7.0e-6,0.0,250000,250000,94263.26597487711,4346.634475014037,4224.0491534680505,1231.2281105990783,1189.3163493840987,88140.71751246986,91642.61111348751,71568.28312436858,76141.55349731627,hard,5.0,1.0000184999755102e6,1049.5778964738015,1.0000175502612245e6,1051.525330358778
10,2,0.005,1.0,10000000,1.0e7,0,0,5.0e-7,0,5.0e-7,0.0,250000,250000,1.2874788395196507e6,5001.251662971175,4912.558951965066,1770.3617269544925,1737.1595866819748,829479.1914230937,868573.2672696926,689413.8384404657,730108.9498978865,hard,5.0,1.0000194718979592e7,3339.7019711168296,1.0000197180244898e7,3337.209905294124
10,3,0.005,1.0,10000000,1.0e7,0,0,7.0e-7,0,7.0e-7,0.0,250000,250000,1.2196262179661016e6,3316.471816283925,3175.917288135593,4483.872912127814,4436.634982332155,1.2985123890341476e6,1.1774451941716184e6,963750.5352515636,911610.8656810767,hard,5.0,1.000055126662449e7,4242.965371204258,1.0000584244265307e7,4272.253967649102
10,3,0.005,1.0,100000000,1.0e8,0,0,5.0e-8,0,5.0e-8,0.0,250000,238549,1.6459083348441927e7,12775.156923076924,8601.518105849582,4258.785365853659,4856.481171548117,1.3505666801250434e7,5.41705333090752e6,1.0131716307372456e7,5.079535681636514e6,hard,5.0,9.786088701085854e7,1.4473094803541403e7,9.786091120948067e7,1.4473098578738142e7
10,2,0.005,1.0,125892,125892.0,0,0,6.354653194801894e-5,0,6.354653194801894e-5,0.0,250000,250000,10377.357469244289,2813.6287040342736,2774.3325131810193,1038.3682873730043,1022.5657142857143,9834.695693416526,10125.117573475605,7820.165296859524,8294.465346264407,hard,5.0,125892.54209387755,372.5302815397258,125893.03826938776,373.19930512057476
10,3,0.005,1.0,125892,125892.0,0,0,6.354653194801894e-5,0,6.354653194801894e-5,0.0,250000,138450,13241.140695428203,1574.9372948128694,1505.2988431876606,3374.476076555024,3341.187165775401,16470.751272952744,16658.826923562505,13020.719812520072,14013.896861027466,hard,5.0,121183.16626451854,23909.365406831694,121184.26831022855,23909.569226760606
10,3,0.005,1.0,1258925,1.258925e6,0,0,5.560299461842445e-6,0,5.560299461842445e-6,0.0,250000,250000,153108.7558056021,2436.4701601164484,2368.078764663634,4305.576211894053,4303.589105250185,198274.18058928318,183473.17019208023,148289.14986393065,143889.0521289157,hard,5.0,1.2590104415346938e6,1238.7553484657392,1.259017624077551e6,1238.6578764682117
