L,d,J,Jprop,NX,NY,rR_random,rH_random,rR_hosthost,rH_phagephage,rH_phagehost,rH_3body,simulation_time,GenePersisentTime,mean_establish_size,persTimeHost,persTimePhage,gapTimeHost,gapTimePhage,theta_GH,theta_GP,theta_gH,theta_gP,constraint,soft_threshold,mean_host_N,std_host_N,mean_phage_N,std_phage_N
10,2,0.005,1.0,100000,100000.0,0,0,0.00011,0,0.00011,0.0,250000,250000,6392.902993148215,3074.9948960991615,3065.578434908042,858.7346182357302,815.782624633431,6472.995801736162,6697.807864842966,6423.582506516826,6802.5143401404,soft,5.0,94292.12419183673,25309.577254103486,95839.1052612245,26229.472455416013
10,2,0.005,1.0,1000000,1.0e6,0,0,8.0e-6,0,8.0e-6,0.0,250000,250000,98394.67191743618,3929.882415820417,4008.0874524714827,1154.6818181818182,1115.4304008908687,98878.52846415254,104472.90908195784,101061.50382353258,106910.92995415289,soft,5.0,973970.9276122449,334993.1463168694,997477.9818204081,349211.1040521188
10,2,0.005,1.0,10000000,1.0e7,0,0,5.0e-7,0,5.0e-7,0.0,250000,250000,1.7941110747767857e6,3603.535010940919,3444.641025641026,1928.860759493671,1874.6584507042253,1.4153873663238615e6,1.3706201913656874e6,1.4780348225527746e6,1.4370372599089164e6,soft,5.0,9.941053525538776e6,4.0507130037768753e6,1.0142334788159184e7,4.093635416368811e6
10,2,0.005,1.0,100000000,1.0e8,0,0,2.0e-8,0,2.0e-8,0.0,250000,250000,3.8282394114754096e7,78910.33333333333,83281.0989010989,4011.8541666666665,3802.413043478261,3.773153166424793e6,4.636106426713888e6,4.021859746964769e6,4.933229606388605e6,soft,5.0,9.944513841438776e7,2.05348420186239e7,1.0045345934056735e8,2.2858733805279184e7
10,2,0.005,1.0,125892,125892.0,0,0,8.737648142852604e-5,0,8.737648142852604e-5,0.0,250000,250000,8208.068925233645,3306.3837298541825,3390.1592679127725,814.4006247559547,787.5441934205311,8175.6590984795075,8480.69373730402,8326.74891872011,8827.68176345946,soft,5.0,120645.73437959184,32998.097484576836,122265.79844081633,34253.82436960017
10,2,0.005,1.0,1258925,1.258925e6,0,0,3.971642472744604e-6,0,3.971642472744604e-6,0.0,250000,139171,213771.22316043425,3003.008423586041,3077.4156626506024,2143.812977099237,2134.9668789808916,189014.95801455597,219910.04173032776,200162.24281032468,231055.7710557106,soft,5.0,1.1456090275991086e6,550677.4614292533,1.1867532302434952e6,594531.7020257685
10,2,0.005,1.0,12589254,1.2589254e7,0,0,3.97164121082949e-7,0,3.97164121082949e-7,0.0,250000,228740,1.9888808818342153e6,7080.132879045997,7235.805555555556,2022.1033210332102,2021.1242937853108,1.46425233277349e6,1.0921325628017038e6,1.7462253046173616e6,1.240700867348861e6,soft,5.0,1.2523059305349959e7,6.886337447824549e6,1.2026500183927773e7,4.734477987246429e6
10,2,0.005,1.0,158489,158489.0,0,0,5.0476689233953143e-5,0,5.0476689233953143e-5,0.0,250000,51347,16079.807881773399,2766.4834605597966,2750.0591133004928,1383.4597701149426,1337.9168975069251,18390.40173120282,21769.893400307858,22265.39942969537,25932.414152770576,soft,5.0,127409.6898828403,72223.66908550225,130262.97179968498,77308.50506347288
10,2,0.005,1.0,1584893,1.584893e6,0,0,4.416701947702463e-6,0,4.416701947702463e-6,0.0,250000,250000,186972.89133016628,3475.585507246377,3601.7986935866984,1415.7547619047618,1399.4667480170835,173860.73130471588,185514.64099400383,179887.5461416734,192176.52144816233,soft,5.0,1.5310273566693878e6,547221.398419712,1.5694899385714286e6,573827.1182792484
10,2,0.005,1.0,15848931,1.5848931e7,0,0,2.5238295251585106e-7,0,2.5238295251585106e-7,0.0,250000,250000,3.3616933059273423e6,6910.303538175047,7068.715630885123,2722.6951219512193,2718.246913580247,1.416607711813406e6,1.6834273997169805e6,1.4615415077531552e6,1.7271173436975009e6,soft,5.0,1.533717834597551e7,5.229679645521414e6,1.5677502765791837e7,5.7470359184058e6
10,2,0.005,1.0,199526,199526.0,0,0,4.00950252097471e-5,0,4.00950252097471e-5,0.0,250000,123193,19005.401746724892,2815.047146401985,3036.3379912663754,1174.520618556701,1173.4654545454546,18985.805014748585,19923.123346902248,20118.548966304475,21208.92904537994,soft,5.0,180825.19683906832,69392.96775640699,185421.2420786341,72028.25934612995
10,2,0.005,1.0,1995262,1.995262e6,0,0,3.508311189207232e-6,0,3.508311189207232e-6,0.0,250000,250000,222271.94019292603,3852.947301587302,3923.503536977492,1450.8771241830066,1408.9152317880794,209247.185572656,223108.21212792126,217888.70331354107,232184.97761374342,soft,5.0,1.9117960175632653e6,684486.1769267882,1.9592714173142856e6,715772.4318331764
10,2,0.005,1.0,19952623,1.9952623e7,0,0,2.505936186936424e-7,0,2.505936186936424e-7,0.0,250000,250000,2.7206655778688523e6,7942.034,8112.370221327968,1998.7252747252746,1960.1504424778761,1.258412519364128e6,1.3719843469076725e6,1.302014401945767e6,1.4162749205257134e6,soft,5.0,1.931019832186939e7,5.165018341214992e6,1.9602549378163267e7,5.400418958515771e6
10,2,0.005,1.0,251188,251188.0,0,0,3.184865519053458e-5,0,3.184865519053458e-5,0.0,250000,160812,23476.69861111111,3265.393543956044,3360.479861111111,1169.2551381998583,1139.3139784946236,23601.835402554618,25188.560733357375,24624.47158339799,26349.482591078206,soft,5.0,232321.98426950426,88232.40642461735,237103.43223243396,91969.31868176162
10,2,0.005,1.0,2511886,2.511886e6,0,0,2.7867506726021802e-6,0,2.7867506726021802e-6,0.0,250000,250000,304207.86477115116,3640.36925188744,3801.0492371705964,1379.9964589235128,1341.5246957766642,272722.71337506385,298196.8016800116,290000.2971700792,318223.6449365475,soft,5.0,2.4613439189387755e6,953545.7392438755,2.5221999359591836e6,1.0145282462607819e6
10,2,0.005,1.0,25118864,2.5118864e7,0,0,1.592428702189717e-7,0,1.592428702189717e-7,0.0,250000,250000,4.554743567164179e6,7631.84578313253,7807.308068459658,2612.7918918918917,2584.980769230769,1.7740271372754467e6,2.0164719027186295e6,1.8207702113808307e6,2.064655467312802e6,soft,5.0,2.4377375355640817e7,6.582662383611779e6,2.4779150678302042e7,7.0479324175338e6
10,2,0.005,1.0,316227,316227.0,0,0,2.5298282562842516e-5,0,2.5298282562842516e-5,0.0,250000,250000,30085.49955357143,3398.55864465682,3535.69375,1134.064687638458,1099.7776765375854,30070.748483919753,32067.367282795836,29906.226070660134,32071.471672116262,soft,5.0,304975.4287428571,100788.00114254815,312160.00835510204,105523.57733027294
10,2,0.005,1.0,3162277,3.162277e6,0,0,2.2135948242358277e-6,0,2.2135948242358277e-6,0.0,250000,250000,359261.0929596719,3568.074784910655,3772.405331510595,1379.663028649386,1323.7630465444288,340265.8146648129,364448.1513476425,348936.23867536715,374633.58910738945,soft,5.0,3.0768048823836735e6,1.119186083330868e6,3.156190354036735e6,1.1781909061776618e6
10,2,0.005,1.0,31622776,3.1622776e7,0,0,6.32455544067352e-8,0,6.32455544067352e-8,0.0,250000,216564,1.1391504666666666e7,64067.9898989899,56649.94059405941,4350.87037037037,4483.0,1.1294586863314016e7,1.3627439897300322e6,1.0853200319771467e7,1.6382652158027524e6,soft,5.0,3.275328608030194e7,1.929354879279814e7,2.99474271301781e7,9.255069901193129e6
