L,d,J,Jprop,NX,NY,rR_random,rH_random,rR_hosthost,rH_phagephage,rH_phagehost,rH_3body,simulation_time,GenePersisentTime,mean_establish_size,persTimeHost,persTimePhage,gapTimeHost,gapTimePhage,theta_GH,theta_GP,theta_gH,theta_gP,constraint,soft_threshold,mean_host_N,std_host_N,mean_phage_N,std_phage_N
40,2,0.005,1.0,1000000,1.0e6,0,0,3.2e-5,0,3.2e-5,0.0,250000,38627,16873.908698334362,1538.85323648793,1441.1085080147966,2765.5349910279415,2788.2178169358785,16471.737967227884,18799.76597435078,22618.827860585698,24857.89877387164,hard,5.0,851398.6845689475,355784.57733434375,851406.788533024,355787.9733989322
40,2,0.005,1.0,1000000,1.0e6,0,0,3.2e-5,0,3.2e-5,0.0,250000,250000,16955.41699771277,1550.5111284464056,1481.8846116808704,3043.3750652319773,3057.1774866283918,16621.712894154643,19164.481229048375,15822.02533473113,18475.42685827443,hard,5.0,1.0000764282408163e6,1056.9453156201776,1.0000852051469388e6,1056.7956808861761
40,2,0.005,1.2589254117941673,1000000,1.0e6,0,0,3.2e-5,0,3.2e-5,0.0,250000,250000,16307.324771784233,1457.761086704697,1174.9773029045643,2665.4057545638493,2744.1931885280474,15485.967594681502,22866.902896566728,14897.321174100673,22738.591102695085,hard,5.0,1.000105374110204e6,1059.7723814000303,1.0001315741795918e6,1067.2195090645228
40,2,0.005,1.0,1000000,1.0e6,0,0,3.2e-5,0,4.028561317741335e-5,0.0,250000,250000,15129.891877295313,1488.2085264133457,1422.7168070857638,2673.623826844492,2655.262491760053,15157.417734605517,17338.60399919452,14409.401276550343,16625.87440223841,hard,5.0,1.0000800811510204e6,1056.1582460527827,1.0000814594081632e6,1057.9978326850378
40,2,0.005,1.0,1000000,1.2589254117941672e6,0,0,2.8e-5,0,2.8e-5,0.0,250000,250000,17497.70795815211,1433.1231672245533,1425.5316092629598,3008.342058498631,3003.56817147647,17410.960372848393,25319.819643610983,16789.427447748265,24634.73051322782,hard,5.0,1.0000965848775511e6,1059.7583396934585,1.2590464040734693e6,1190.8979640616174
40,2,0.005,1.5848931924611134,1000000,1.0e6,0,0,3.2e-5,0,3.2e-5,0.0,250000,132148,15554.410144199728,1396.9956445296891,936.8548317669847,2338.930957683742,2429.2155509631707,14403.853293477674,27298.1412155069,15855.602081225474,29816.629473222583,hard,5.0,960811.7626860037,194376.14375215612,960886.2567087174,194391.32888272792
40,2,0.005,1.0,1000000,1.0e6,0,0,2.8e-5,0,4.4377009388911176e-5,0.0,250000,250000,15665.821785721804,1388.962754682701,1323.4103368421052,2688.1653979847756,2646.1483090753422,15950.508651076447,18098.947350749946,15429.147472752682,17656.474727425393,hard,5.0,1.000090160232653e6,1059.1108768392326,1.0000893560081633e6,1056.8868600736266
40,2,0.005,1.0,1000000,1.5848931924611134e6,0,0,2.8e-5,0,2.8e-5,0.0,250000,250000,15511.174439216544,1381.2720815919968,1446.9531677426414,2698.241514504086,2673.6064566403206,16008.042520498346,28940.81296503276,15430.041241562749,28067.4261454991,hard,5.0,1.0000921015469388e6,1059.3570967376666,1.5850394671714285e6,1340.408119811531
40,2,0.005,1.9952623149688795,1000000,1.0e6,0,0,2.8e-5,0,2.8e-5,0.0,250000,250000,17060.930479030816,1325.0412897839094,720.3588939998989,2422.156513135311,2464.540576072666,15833.264347254999,41123.445158594186,15508.968346686937,43115.968381111874,hard,5.0,1.0002037828571429e6,1140.870556623277,1.0004258046040817e6,1353.0495036827692
40,2,0.005,1.0,1000000,1.0e6,0,0,2.8e-5,0,5.5867344819128626e-5,0.0,250000,250000,13774.336074861296,1368.021481451515,1308.7049699148238,2447.444736733939,2380.978396286304,14458.22698371309,16166.432768245182,13917.219817136398,15711.810644040459,hard,5.0,1.0000903088204082e6,1055.2663351648018,1.0000924429836734e6,1053.3795361209134
