L,d,J,Jprop,NX,NY,rR_random,rH_random,rR_hosthost,rH_phagephage,rH_phagehost,rH_3body,simulation_time,GenePersisentTime,mean_establish_size,persTimeHost,persTimePhage,gapTimeHost,gapTimePhage,theta_GH,theta_GP,theta_gH,theta_gP,constraint,soft_threshold,mean_host_N,std_host_N,mean_phage_N,std_phage_N
10,2,0.005,1.0,100000,100000.0,0,0,0.00016,0.00016,0,0.0,250000,250000,5801.5174765558395,3975.8109833971903,4000.568201193521,564.0303819444445,546.2859626249457,5256.224509733769,5216.810241856894,4679.015321588682,4805.266690022235,hard,5.0,100000.55999591836,332.4526794800819,100000.00185306123,332.14451015953847
10,3,0.005,1.0,100000,100000.0,0,0,0.0002,0.0002,0,0.0,250000,250000,4595.769579777466,1765.0473918230127,1750.4070643980185,1391.9500054939017,1383.8906829587606,5112.810328594979,5102.497306703242,4183.170914120604,4407.903510505432,hard,5.0,100004.49696326531,332.7663318623316,100002.60057551021,332.2188229383635
10,2,0.005,1.0,1000000,1.0e6,0,0,1.3e-5,1.3e-5,0,0.0,250000,250000,77871.4862012987,6511.611196319019,6837.73538961039,722.1413820492454,736.1912384161752,68564.48506882809,66400.53812324586,58458.71122749072,55777.65654446965,hard,5.0,1.0000147404857143e6,1051.4870813687273,1.0000169982204082e6,1053.443315120278
10,3,0.005,1.0,1000000,1.0e6,0,0,1.3e-5,1.3e-5,0,0.0,250000,250000,76838.2947368421,2858.3919022154314,2848.468133971292,2522.8492963252543,2533.8842311459352,96857.51917170612,92508.75092196671,76496.30528361443,74826.16740869335,hard,5.0,1.0000379339510204e6,1064.785631240614,1.0000411352979592e6,1063.7454986741457
10,2,0.005,1.0,10000000,1.0e7,0,0,1.1e-6,1.1e-6,0,0.0,250000,250000,1.1254165923566879e6,7250.387426900585,7497.671974522293,970.528951486698,1008.4271012006861,661546.3772593138,643853.4758890402,556550.2468084554,544972.8874264869,hard,5.0,1.000015077762449e7,3340.569775658749,1.0000122090571428e7,3346.9746315821867
10,3,0.005,1.0,10000000,1.0e7,0,0,1.3e-6,1.3e-6,0,0.0,250000,250000,779339.4319248826,3986.385705847608,3953.2051056338028,2419.9084507042253,2413.853406326034,764973.2591789743,716064.2701387482,612691.8349785927,591940.4927916763,hard,5.0,1.0000364347118367e7,3618.591310108788,1.0000351955693878e7,3614.19702993073
10,3,0.005,1.0,100000000,1.0e8,0,0,7.0e-8,7.0e-8,0,0.0,250000,250000,1.5343862413793104e7,11067.710659898477,11828.453012048192,5550.660583941606,5320.366101694915,1.0069769822588427e7,9.284921993810173e6,8.433869112686828e6,7.956002379520112e6,hard,5.0,1.0000137633600408e8,19053.827623807752,1.0000143338462856e8,19165.974393151853
10,2,0.005,1.0,125892,125892.0,0,0,0.00015886632987004734,0.00015886632987004734,0,0.0,250000,250000,6132.3266545233755,6007.396815676669,5927.911353976928,398.7802267002519,384.4157303370786,5054.627483368146,5110.4794159225,4603.303822604125,4783.768125377044,hard,5.0,125892.92197551021,372.8264995294159,125892.07857959183,373.29746588130354
10,3,0.005,1.0,125892,125892.0,0,0,0.00015092301337654498,0.00015092301337654498,0,0.0,250000,250000,6072.921846435101,1873.0926924400596,1858.7476326297776,1465.7029196231244,1460.2222093695777,6799.958366413218,6859.237660766112,5587.868288283847,5854.806061475941,hard,5.0,125893.93787346939,373.8370232562719,125895.98069795918,372.9572656859352
10,2,0.005,1.0,1258925,1.258925e6,0,0,1.0326270429135969e-5,1.0326270429135969e-5,0,0.0,250000,250000,100703.94054054054,6894.218390804598,7526.497297297297,686.4458653026428,683.8300469483568,82455.2576055629,82006.1906091028,69197.76440150806,68667.88565192996,hard,5.0,1.2589401460163265e6,1178.0740683705037,1.2589400923632653e6,1181.1543929608274
10,3,0.005,1.0,1258925,1.258925e6,0,0,8.737613440038127e-6,8.737613440038127e-6,0,0.0,250000,156764,113031.81194867683,2952.2840065952187,2937.7413931144915,3370.7801387684303,3358.256518082422,194438.86105883395,147735.95533997536,165588.50609709328,136999.4224743618,hard,5.0,1.2175191803260325e6,224705.5101165174,1.2175174880340528e6,224705.1809778582
