L,d,J,Jprop,NX,NY,rR_random,rH_random,rR_hosthost,rH_phagephage,rH_phagehost,rH_3body,simulation_time,GenePersisentTime,mean_establish_size,persTimeHost,persTimePhage,gapTimeHost,gapTimePhage,theta_GH,theta_GP,theta_gH,theta_gP,constraint,soft_threshold,mean_host_N,std_host_N,mean_phage_N,std_phage_N
10,2,0.005,1.0,100000,100000.0,5.0e-5,5.0e-5,0,0,0,0.0,250000,250000,10713.446103896104,2338.0600263852243,2293.006168831169,1247.9882825577502,1236.8088962108732,9963.48951905501,10326.877721680612,8373.429693878457,8656.185010779045,hard,5.0,100002.43317959184,331.76595194245834,100000.83569795918,332.35263227701466
10,3,0.005,1.0,100000,100000.0,2.0e-5,2.0e-5,0,0,0,0.0,250000,11785,32181.85714285714,5713.783333333334,5631.308333333333,0,0,26694.427954936295,34550.29765523091,38756.19623751769,44580.47230246515,hard,5.0,26327.839056742814,44050.58833259613,26323.136919675755,44042.67226673823
10,2,0.005,1.0,1000000,1.0e6,4.0e-6,4.0e-6,0,0,0,0.0,250000,250000,129369.40485829959,3520.9068479355487,3529.8608299595144,1519.0896445131375,1559.7172449508028,116618.70892221706,119619.32628324993,95197.80110405064,96500.88988426856,hard,5.0,1.0000252262979592e6,1051.7773163902148,1.000026187012245e6,1050.7820013846
10,3,0.005,1.0,1000000,1.0e6,2.0e-6,2.0e-6,0,0,0,0.0,250000,29521,235656.71022727274,4943.682080924856,4233.25,3583.4150943396226,4526.0,194746.24491979487,212465.45847497418,197084.29292387347,215463.47365330785,hard,5.0,796202.6673055749,402914.8537626435,796206.801190816,402916.97485432343
10,2,0.005,1.0,10000000,1.0e7,4.0e-7,4.0e-7,0,0,0,0.0,250000,250000,1.2895107354771784e6,5106.880213903743,4912.675311203319,1576.385393258427,1516.8150163220891,842791.5209916793,875706.2040007858,701321.8552036951,730450.049749704,hard,5.0,1.0000187389134694e7,3340.326533250125,1.0000179464840816e7,3351.55176180262
10,3,0.005,1.0,10000000,1.0e7,2.0e-7,2.0e-7,0,0,0,0.0,250000,66453,2.53742573943662e6,16300.51633986928,11954.96449704142,4799.0,5005.816326530612,808152.6768873963,727733.6249742735,789494.4344942558,760957.362992362,hard,5.0,9.186798873545637e6,2.7337728223279133e6,9.186813456186028e6,2.733777118514337e6
10,2,0.005,1.0,100000000,1.0e8,2.0e-8,2.0e-8,0,0,0,0.0,250000,250000,2.419056212264151e7,8578.051282051281,15292.63963963964,2702.4305555555557,2731.409090909091,3.5071050198273766e6,3.38997373893628e6,2.86312553199175e6,2.7305039996225103e6,hard,5.0,1.0000069619265306e8,11078.056384898018,1.0000068282678775e8,11085.120089675607
10,3,0.005,1.0,100000000,1.0e8,2.0e-8,2.0e-8,0,0,0,0.0,250000,250000,2.3112719499494437e7,3560.45178197065,3239.154701718908,7951.193045563549,8134.10586881473,1.045610937746324e7,1.1304231047096632e7,7.439903396075921e6,8.019846916885288e6,hard,5.0,1.000049923116694e8,34304.30687725107,1.0000514522859591e8,34399.43750357578
10,2,0.005,1.0,125892,125892.0,3.9716582467511835e-5,3.9716582467511835e-5,0,0,0,0.0,250000,160406,13520.337625979842,2454.010549694614,2462.162842753218,1223.9726651480637,1247.3771526980481,12551.929681336333,12964.680325316383,11219.508833733284,11509.120555745041,hard,5.0,121844.04727616694,22216.32285661524,121842.12168770832,22215.97957479581
10,3,0.005,1.0,125892,125892.0,3.177326597400947e-5,3.177326597400947e-5,0,0,0,0.0,250000,250000,16236.348275862068,1540.3841687633055,1471.3371603520857,4049.039627501486,4064.8801410105757,15849.331395759793,17496.817443881584,11273.400239806095,12418.443282146956,hard,5.0,125898.69793469388,373.52246985597526,125900.02465306122,374.3251621655911
