L,d,J,Jprop,NX,NY,rR_random,rH_random,rR_hosthost,rH_phagephage,rH_phagehost,rH_3body,simulation_time,GenePersisentTime,mean_establish_size,persTimeHost,persTimePhage,gapTimeHost,gapTimePhage,theta_GH,theta_GP,theta_gH,theta_gP,constraint,soft_threshold,mean_host_N,std_host_N,mean_phage_N,std_phage_N
10,2,0.005,1.0,100000,100000.0,0,0,0.000685,0,0.000685,0.0,150000,150000,656.0,142384.73333333334,142244.8,0,0,1019.2149142667579,1046.871768945391,1237.839048404209,1357.3706614802916,hard,5.0,99999.12029655173,332.5635815092018,99997.49313793103,331.601780005546
10,2,0.005,1.0,1000000,1.0e6,0,0,4.15e-5,0,4.15e-5,0.0,150000,150000,0,143923.17777777778,145000.0,0,0,17021.593978287732,17206.670337660595,14869.101459854899,15214.173714193568,hard,5.0,1.0000055644068966e6,1054.2383607496154,999997.817337931,1049.5931198317448
10,3,0.005,1.0,10000000,1.0e7,0,0,1.075e-5,0,1.075e-5,0.0,150000,150000,0,142436.04958677685,145000.0,380.0,0,77572.82191215195,78507.79437101203,56843.960282532666,57583.88919074379,hard,5.0,1.0000048552979311e7,3316.2427013576753,1.0000061225496551e7,3312.783647353899
10,2,0.005,1.0,10000000,1.0e7,0,0,3.45e-6,0,3.45e-6,0.0,150000,150000,0,145000.0,145000.0,0,0,148769.6767577888,150242.56971371837,128953.46379941577,130153.49465369797,hard,5.0,1.0000028391586207e7,3324.735947068581,1.0000028801075863e7,3320.2227848782445
10,3,0.005,1.0,100000000,1.0e8,0,0,4.15e-7,0,4.15e-7,0.0,150000,150000,1.216519375e6,130631.52755905512,135863.38709677418,360.0,563.0,376920.703716878,380883.2966894624,273538.17713470873,276108.3745146027,hard,5.0,1.0000025893144138e8,10520.221596933805,1.0000022650502759e8,10483.027262045001
10,2,0.005,1.0,125892,125892.0,0,0,0.0006235503447399358,0,0.0006235503447399358,0.0,150000,150000,0,145000.0,145000.0,0,0,1165.9916365285114,1195.4038350403932,1445.9137739258047,1604.1503569084161,hard,5.0,125890.24732413793,372.2178031147218,125893.30329655172,372.0407027223354
10,2,0.005,1.0,1258925,1.258925e6,0,0,3.6141946501975895e-5,0,3.6141946501975895e-5,0.0,150000,150000,0,145000.0,145000.0,0,0,20176.015446854046,20347.913920939554,17027.668336769533,17287.741509285148,hard,5.0,1.2589304455862069e6,1182.1472258118906,1.2589251206344827e6,1174.575378151554
10,3,0.005,1.0,12589254,1.2589254e7,0,0,9.174491197016122e-6,0,9.174491197016122e-6,0.0,150000,150000,0,143888.10833333334,145000.0,0,0,96187.05718886152,97346.30327492491,67415.3317840914,68408.02094366962,hard,5.0,1.2589303921931034e7,3726.119994647732,1.2589322115662068e7,3723.5368597685488
10,2,0.005,1.0,12589254,1.2589254e7,0,0,2.9787309081221174e-6,0,2.9787309081221174e-6,0.0,150000,150000,0,145000.0,145000.0,0,0,181429.91679466824,183578.39281794854,155302.6158086943,157438.37523461287,hard,5.0,1.258929678842069e7,3726.725606747052,1.2589286815793103e7,3726.195872058842
10,2,0.005,1.0,158489,158489.0,0,0,0.0003880395484860148,0,0.0003880395484860148,0.0,150000,150000,0,145000.0,145000.0,0,0,1755.498375253183,1795.6988391398013,1887.825318042446,2032.2540677002978,hard,5.0,158492.53539310346,417.837398224303,158489.11653793103,418.07010551651183
10,2,0.005,1.0,1584893,1.584893e6,0,0,2.870856266006601e-5,0,2.870856266006601e-5,0.0,150000,150000,0,141825.95555555556,145000.0,0,0,26837.93454891676,27118.490985032528,22396.071822366845,22786.877772517124,hard,5.0,1.5848955794275862e6,1326.434192804412,1.5848989858689655e6,1323.8890454140187
10,3,0.005,1.0,1584893,1.584893e6,0,0,8.486377313799733e-5,0,8.486377313799733e-5,0.0,150000,150000,9491.0,145000.0,144150.0,0,0,9548.535110677483,9632.418063766429,7068.955974296863,7225.922818406523,hard,5.0,1.5849043585793104e6,1323.3416544677311,1.584897663524138e6,1327.820402536065
10,2,0.005,1.0,15848931,1.5848931e7,0,0,1.5458455841595878e-6,0,1.5458455841595878e-6,0.0,150000,150000,805591.5,136378.39130434784,138826.3260869565,9.0,263.0,237654.9579302531,240498.21305521196,187976.78524852233,189920.74474527052,hard,5.0,1.5848973286662068e7,4184.7071707189925,1.58489845022e7,4186.709260964564
10,3,0.005,1.0,15848931,1.5848931e7,0,0,7.666132182668976e-6,0,7.666132182668976e-6,0.0,150000,150000,0,142905.10833333334,145000.0,0,0,106519.04141261011,107747.52024305785,78912.35339115422,79783.92785081132,hard,5.0,1.5848982474641379e7,4196.746351242454,1.5849001297524137e7,4179.819056417647
