L,d,J,Jprop,NX,NY,rR_random,rH_random,rR_hosthost,rH_phagephage,rH_phagehost,rH_3body,simulation_time,GenePersisentTime,mean_establish_size,persTimeHost,persTimePhage,gapTimeHost,gapTimePhage,theta_GH,theta_GP,theta_gH,theta_gP,constraint,soft_threshold,mean_host_N,std_host_N,mean_phage_N,std_phage_N
10,2,0.005,1.0,100000,100000.0,0,0,0.0007025,0,0.0007025,0.0,200000,200000,2553.0,160726.40425531915,160719.9387755102,64.5,12.5,1146.5965315291392,1179.7993292177157,2069.4792215877883,2274.9206394337966,soft,5.0,98833.50061025641,19644.045024348474,99287.17931794871,20503.565735425538
10,2,0.005,1.0,1000000,1.0e6,0,0,3.525e-5,0,3.525e-5,0.0,200000,200000,29533.833333333332,143775.03846153847,175081.82978723405,207.0,40.5,21461.316059557652,21756.590264033483,22053.77357686453,22542.933025867544,soft,5.0,995120.0957692307,158466.13765359973,1.0009931154153846e6,160873.2876109731
10,2,0.005,1.0,10000000,1.0e7,0,0,3.5249999999999997e-6,0,3.5249999999999997e-6,0.0,200000,200000,462730.0,183441.64444444445,183834.34782608695,0,143.0,255485.77966831942,259636.42789796676,247779.5988328847,252291.28605070952,soft,5.0,9.965746037584616e6,1.5995050702229617e6,1.0021644538610257e7,1.6191440619446798e6
10,2,0.005,1.0,100000000,1.0e8,0,0,2.25e-8,0,2.25e-8,0.0,200000,200000,1.9716016e7,186645.0,178648.51063829788,1467.0,2240.5,1.200046993353387e6,1.2273748172455693e6,1.143737238324042e6,1.170820386530369e6,soft,5.0,9.980681650895384e7,1.0215510351991488e7,1.0010420306174359e8,1.0364326923409253e7
10,2,0.005,1.0,125892,125892.0,0,0,0.0005024147682140247,0,0.0005024147682140247,0.0,200000,200000,1544.0,160106.79166666666,170219.29787234042,51.0,21.0,1542.6207943731895,1576.8048053454174,2460.302021484794,2668.230601859836,soft,5.0,124793.41438974359,21176.79063463346,124881.56477435898,21881.965425223825
10,2,0.005,1.0,1258925,1.258925e6,0,0,2.8000079432849454e-5,0,2.8000079432849454e-5,0.0,200000,200000,38747.25,156756.38775510204,180669.71739130435,84.25,11.0,29455.460662172387,29850.27268167919,29215.7665177265,29774.95605435672,soft,5.0,1.254000515523077e6,184360.32868523983,1.2599800234615384e6,186460.9731306024
10,2,0.005,1.0,12589254,1.2589254e7,0,0,2.4028429325518415e-6,0,2.4028429325518415e-6,0.0,200000,200000,259757.33333333334,166682.5,170341.04444444444,84.0,0,344307.0587175608,350531.95951818,337761.5241490282,343751.8921637852,soft,5.0,1.2543764984471794e7,2.043280904574416e6,1.2617333833082052e7,2.0690345171355333e6
10,2,0.005,1.0,158489,158489.0,0,0,0.00034229504886774476,0,0.00034229504886774476,0.0,200000,200000,2619.222222222222,140299.08,164373.3673469388,53.6,14.75,2306.3923396968717,2344.229142996076,3431.493452767125,3677.1325342702303,soft,5.0,157355.67724615385,28632.596507106766,157602.25686153845,29262.382102732707
10,2,0.005,1.0,1584893,1.584893e6,0,0,1.9717419409385996e-5,0,1.9717419409385996e-5,0.0,200000,200000,32597.727272727272,117990.44827586207,129862.12068965517,130.3846153846154,115.0,38888.66167392909,39435.33543072421,39911.74122254943,40741.5781674694,soft,5.0,1.5797461665230768e6,246440.34873428207,1.5879419715538463e6,249803.70434487858
10,2,0.005,1.0,15848931,1.5848931e7,0,0,2.097933292788012e-6,0,2.097933292788012e-6,0.0,200000,200000,320350.0,182472.9347826087,190730.6,53.0,0,363647.2485018257,370440.06292194023,367587.3843073549,375114.6084003423,soft,5.0,1.5794895610179488e7,2.545585609427532e6,1.5871660979317948e7,2.5781140726860235e6
10,2,0.005,1.0,199526,199526.0,0,0,0.0002468349989475056,0,0.0002468349989475056,0.0,200000,200000,3809.0,147592.14,181154.15555555557,56.6,0,3019.8890089424317,3067.3555241224794,3968.0529263550657,4220.239436083751,soft,5.0,198090.19212307694,31413.939794044207,198830.0689025641,32305.4294199796
10,2,0.005,1.0,1995262,1.995262e6,0,0,1.6664478148734353e-5,0,1.6664478148734353e-5,0.0,200000,200000,50222.0,165285.58333333334,162465.6875,12.666666666666666,110.0,51975.15466044957,52711.75780731262,52243.909701157005,53151.695244692804,soft,5.0,1.990403719420513e6,318331.4866730709,2.0000585100615385e6,322978.03627487284
10,2,0.005,1.0,19952623,1.9952623e7,0,0,1.5160913930965368e-6,0,1.5160913930965368e-6,0.0,200000,200000,672145.4,160743.41666666666,175672.33333333334,103.33333333333333,0,488622.9365228381,498101.80245027517,478336.26691366924,488038.71672606556,soft,5.0,1.987892224946154e7,2.9981759356628815e6,1.9995037128523078e7,3.0373031191557576e6
10,2,0.005,1.0,251188,251188.0,0,0,0.00018810611971909486,0,0.00018810611971909486,0.0,200000,200000,6375.0,165226.86956521738,180774.73913043478,22.0,71.0,3792.231725582286,3849.475195909044,4497.450795020787,4770.595978271574,soft,5.0,249725.8085076923,35827.76036949372,250574.691,37266.58175653329
10,2,0.005,1.0,2511886,2.511886e6,0,0,1.2440851216974019e-5,0,1.2440851216974019e-5,0.0,200000,200000,54276.0,124598.59322033898,135574.88461538462,87.42857142857143,187.28571428571428,71890.41788785058,72911.53142161937,77005.01237947255,78407.66623317492,soft,5.0,2.501972472302564e6,475490.92741344706,2.5169679126307694e6,481541.3604787396
10,2,0.005,1.0,25118864,2.5118864e7,0,0,1.0450313358120016e-6,0,1.0450313358120016e-6,0.0,200000,200000,70293.0,171617.27659574468,191141.24444444446,552.5,0,574494.6283257011,586494.0483608567,591327.6673575814,604511.5416715244,soft,5.0,2.5062374574979488e7,3.622050694853419e6,2.5181417420046154e7,3.674164561661538e6
10,2,0.005,1.0,316227,316227.0,0,0,0.00014309341074607797,0,0.00014309341074607797,0.0,200000,200000,1510.0,162989.93617021278,189248.42222222223,21.0,0,4988.555295825401,5072.587870500869,5845.477499162617,6115.003351177315,soft,5.0,315046.97773333336,45255.98348959706,315780.12797435897,46338.29074154572
10,2,0.005,1.0,3162277,3.162277e6,0,0,1.177948674325494e-5,0,1.177948674325494e-5,0.0,200000,200000,4151.0,169367.5,192352.46666666667,200.0,0,78712.51963958344,79795.4452550438,77816.13104622478,79103.21864464118,soft,5.0,3.1495919840102564e6,473040.2209685517,3.1677648694564104e6,477257.1841690801
10,2,0.005,1.0,31622776,3.1622776e7,0,0,8.300979015883995e-7,0,8.300979015883995e-7,0.0,200000,200000,1.65252525e6,159947.22448979592,164250.47916666666,129.25,185.33333333333334,715619.1973731208,730887.5835026901,738780.8637221851,753668.5004488347,soft,5.0,3.1534714007871795e7,4.832154574970829e6,3.1709993307153847e7,4.90335186946878e6
10,2,0.005,1.0,398107,398107.0,0,0,9.607969716684208e-5,0,9.607969716684208e-5,0.0,200000,200000,8858.368421052632,98360.04545454546,141385.53846153847,143.76190476190476,12.428571428571429,7816.188708537406,7920.390200814442,8117.870510228074,8437.49498025786,soft,5.0,395293.6766,55256.62732821467,396401.8776615385,56429.67315674273
10,2,0.005,1.0,3981071,3.981071e6,0,0,7.849646489600411e-6,0,7.849646489600411e-6,0.0,200000,200000,84265.5,115011.55,131763.01785714287,323.2,127.27272727272727,122740.67481219082,124820.03816296485,126565.13136930148,128926.64332171444,soft,5.0,3.960137878046154e6,712815.8662631611,3.9896566507897438e6,721723.1223534363
