L,d,J,Jprop,NX,NY,rR_random,rH_random,rR_hosthost,rH_phagephage,rH_phagehost,rH_3body,simulation_time,GenePersisentTime,mean_establish_size,persTimeHost,persTimePhage,gapTimeHost,gapTimePhage,theta_GH,theta_GP,theta_gH,theta_gP,constraint,soft_threshold,mean_host_N,std_host_N,mean_phage_N,std_phage_N
40,2,0.005,1.0,1000000,1.0e6,0,0,0.000835,0,0.000835,0.0,200000,200000,1078.9495798319329,161685.14631197098,174806.97487437187,21.95744680851064,17.375,664.7227268655708,673.1206157473157,1174.6709018442027,1349.336565096756,hard,5.0,1.000003952097436e6,1051.2698669408448,1.000003926225641e6,1048.5759273638516
40,2,0.005,1.0,1000000,1.0e6,0,0,0.000827,0,0.000827,0.0,200000,200000,1304.3850574712644,153843.22630331753,165063.94787878788,48.859375,16.755555555555556,671.135941125713,680.8251239464198,1183.8192335974072,1367.7436790903562,hard,5.0,999998.2034051282,1050.88648635952,999997.0501897436,1052.6769876078536
40,2,0.005,1.0,1000000,1.0e6,0,0,0.000835,0,0.000835,0.0,200000,200000,1190.9692307692308,158587.26397146255,173092.68603213844,36.85245901639344,8.724137931034482,668.1671543383845,678.1032053684568,1181.8888176710998,1365.802547778013,hard,5.0,1.0000021799179487e6,1049.4755858944666,1.0000061759282051e6,1051.4263787876191
40,2,0.005,1.2589254117941673,1000000,1.0e6,0,0,0.000767,0,0.000767,0.0,200000,200000,1065.0555555555557,154255.48996458086,119137.00725388601,33.223880597014926,21.36756756756757,637.2989862640915,811.1227558491695,1031.1723802278743,1453.1293318689748,hard,5.0,999999.9421641026,1053.8229266877604,1.0000092195282051e6,1050.0127990509664
40,2,0.005,1.0,1000000,1.0e6,0,0,0.000775,0,0.0009756671941404796,0.0,200000,200000,780.65,153898.133960047,191528.3861892583,30.197183098591548,1.0,629.8468110351107,636.0782955413696,1051.960023716965,1225.8491924149,hard,5.0,1.0000009931435897e6,1050.7014574239186,1.0000027551384616e6,1051.126955600946
40,2,0.005,1.0,1000000,1.2589254117941672e6,0,0,0.000791,0,0.000791,0.0,200000,200000,1013.875,159119.55741626795,193809.43974358976,22.392857142857142,0,625.7486984748574,794.3758416329534,1068.9836050643353,1551.2703514663237,hard,5.0,1.0000021472307693e6,1051.799631507021,1.2589318822205127e6,1179.657312941379
40,2,0.005,1.5848931924611134,1000000,1.0e6,0,0,0.000731,0,0.000731,0.0,200000,200000,1082.75,163213.82317073172,64596.93080505655,13.075,30.186721991701244,595.8505987098473,950.295983615752,906.1277766605286,1565.6657487159353,hard,5.0,999999.4462974359,1051.8276419764404,1.0000026210153846e6,1050.9299529123887
40,2,0.005,1.0,1000000,1.0e6,0,0,0.000739,0,0.0011712360692287627,0.0,200000,200000,557.6666666666666,155639.84166666667,194469.16794871795,30.766666666666666,0,577.4833577984575,578.8441458042764,931.8108764817573,1105.366309878919,hard,5.0,1.0000041041076923e6,1048.5982433309955,1.0000064197384615e6,1050.1633693002952
40,2,0.005,1.0,1000000,1.5848931924611134e6,0,0,0.000755,0,0.000755,0.0,200000,200000,0,156513.8173076923,195000.0,27.51923076923077,0,591.8775489483811,944.9898761557366,1023.5945714502951,1847.6681058979025,hard,5.0,1.0000043534256411e6,1055.1124311530077,1.5848962449179487e6,1325.3500107975635
40,2,0.005,1.9952623149688795,1000000,1.0e6,0,0,0.000679,0,0.000679,0.0,200000,200000,1027.7295708406818,154017.17550058893,29293.404441846873,29.52173913043478,35.557153671461016,565.0506385415279,1129.70495108959,781.7626226597467,1658.883045874272,hard,5.0,1.0000009503179487e6,1053.1793528399407,1.000008033876923e6,1048.5612562542658
