L,d,J,Jprop,NX,NY,rR_random,rH_random,rR_hosthost,rH_phagephage,rH_phagehost,rH_3body,simulation_time,GenePersisentTime,mean_establish_size,persTimeHost,persTimePhage,gapTimeHost,gapTimePhage,theta_GH,theta_GP,theta_gH,theta_gP,constraint,soft_threshold,mean_host_N,std_host_N,mean_phage_N,std_phage_N
10,2,0.005,1.0,100000,100000.0,0,0,0.0008725,0.0008725,0,0.0,200000,200000,2401.923076923077,157891.18367346938,155635.70833333334,42.5,18.0,1196.2726304333053,1205.741268806231,2111.7492561010145,2230.534868330407,hard,5.0,99998.55541538462,331.9283723909132,100000.21389230769,332.13148960176574
10,3,0.005,1.0,100000,100000.0,0,0,0.00262,0.00262,0,0.0,200000,200000,740.28,160812.87596899224,139918.68421052632,34.0,25.692307692307693,370.0225179724589,371.3729630015489,943.2365829599265,1019.1471614841605,hard,5.0,99998.58641538462,332.31783710207475,99999.6410974359,331.271742359981
10,2,0.005,1.0,1000000,1.0e6,0,0,3.525e-5,3.525e-5,0,0.0,200000,200000,21820.384615384617,126653.38181818182,153447.26,104.2,100.2,20780.911707846215,21041.47861467208,16892.72161928641,17299.241921614597,hard,5.0,1.000007317297436e6,1051.491194936344,1.0000048697333334e6,1049.3822222671447
10,3,0.005,1.0,1000000,1.0e6,0,0,0.000115,0.000115,0,0.0,200000,200000,11538.518518518518,161640.28682170543,163180.52307692307,40.888888888888886,115.4,6846.811629907127,6919.17524253087,5388.013367430939,5576.245214359512,hard,5.0,999999.0325641026,1050.1612094164368,999999.9433846154,1050.755094892351
10,2,0.005,1.0,10000000,1.0e7,0,0,3.025e-6,3.025e-6,0,0.0,200000,200000,313837.2,163869.8775510204,175838.41304347827,152.0,663.0,221153.24552530135,224706.10061435125,184063.94821038292,187507.23412149033,hard,5.0,1.0000079425948719e7,3325.6309079736925,1.0000052939517949e7,3321.3675782889563
10,3,0.005,1.0,10000000,1.0e7,0,0,9.3e-6,9.3e-6,0,0.0,200000,200000,155409.18181818182,178415.16393442624,178649.725,82.5,0,96620.93572458604,98019.79980559104,63391.435253847456,64799.046271697436,hard,5.0,1.0000068792989744e7,3314.5415595774302,1.0000071550179487e7,3327.484283445632
10,2,0.005,1.0,100000000,1.0e8,0,0,2.25e-8,2.25e-8,0,0.0,200000,200000,0,195000.0,195000.0,0,0,993807.8393045962,1.0018310066570017e6,838677.732844394,847006.5033049418,hard,5.0,1.0000020076227692e8,10492.602323772158,1.0000023915392308e8,10512.533783757064
10,2,0.005,1.0,125892,125892.0,0,0,0.0005421313506815366,0.0005421313506815366,0,0.0,200000,200000,3902.05,139847.0612244898,139510.14,119.0,68.4,1666.9394936050107,1679.3345203025501,2356.8666783514586,2484.606251812641,hard,5.0,125890.84254871795,373.92392634973214,125892.32227179487,373.14780071471625
10,3,0.005,1.0,125892,125892.0,0,0,0.001771359578051028,0.001771359578051028,0,0.0,200000,200000,1140.032258064516,142683.24087591242,131262.8811188811,46.411764705882355,30.26086956521739,515.6168868096258,519.4552391500936,1068.3816510102884,1154.3902631753049,hard,5.0,125891.07798974359,372.3011215783509,125889.48725641026,372.97685009664445
10,2,0.005,1.0,1258925,1.258925e6,0,0,2.8000079432849454e-5,2.8000079432849454e-5,0,0.0,200000,200000,45397.3,150545.67346938775,163085.60869565216,116.0,190.0,27911.71433738416,28226.15746636549,23906.4500463511,24238.713260023345,hard,5.0,1.258933577923077e6,1180.8417034994682,1.2589331693589743e6,1180.124995806725
