L,d,J,Jprop,NX,NY,rR_random,rH_random,rR_hosthost,rH_phagephage,rH_phagehost,rH_3body,simulation_time,GenePersisentTime,mean_establish_size,persTimeHost,persTimePhage,gapTimeHost,gapTimePhage,theta_GH,theta_GP,theta_gH,theta_gP,constraint,soft_threshold,mean_host_N,std_host_N,mean_phage_N,std_phage_N
10,3,0.005,1.0,100000,100000.0,0,0,0.00211,0,0.00211,0.0,200000,200000,895.8275862068965,168616.11023622047,162004.1056910569,3.7142857142857144,32.333333333333336,373.33376812906556,381.0955241044705,562.6931716931006,643.3851479852286,hard,5.0,99998.78128717949,331.66074510858743,99998.64418974359,331.4497825349076
10,3,0.005,1.0,1000000,1.0e6,0,0,0.000114,0,0.000114,0.0,200000,200000,8173.5,166724.07874015748,167168.1015625,15.142857142857142,102.75,6528.139055991946,6612.936422312505,5288.492266718169,5454.331334008049,hard,5.0,1.0000033898256411e6,1050.158390841432,1.0000116207179488e6,1050.029753270225
10,3,0.005,1.0,10000000,1.0e7,0,0,9.3e-6,0,9.3e-6,0.0,200000,200000,80097.41666666667,164878.484375,178929.21951219512,112.75,64.0,98759.32859508463,100200.16314408349,70652.02975731708,71942.31596965218,hard,5.0,1.000008010245641e7,3323.1718723141726,1.000005151776923e7,3333.2767848274325
10,3,0.005,1.0,100000000,1.0e8,0,0,5.9e-7,0,5.9e-7,0.0,200000,200000,1.543604105263158e6,137682.38356164383,167552.59842519686,186.26923076923077,206.28571428571428,730729.6651381394,743809.122350505,532498.5794504095,544888.2750258857,hard,5.0,1.0000046957671282e8,10497.754817826688,1.0000047403154872e8,10538.26346209793
10,3,0.005,1.0,125892,125892.0,0,0,0.0015251167667524545,0,0.0015251167667524545,0.0,200000,200000,814.4642857142857,170869.18032786885,163826.78125,5.0,18.125,502.06769916823646,510.0896994972085,649.7470534073219,740.5377793323307,hard,5.0,125891.93504102564,373.2832528856335,125892.12041538462,372.5317153898569
10,3,0.005,1.0,1258925,1.258925e6,0,0,8.340449192763668e-5,0,8.340449192763668e-5,0.0,200000,200000,11140.567567567568,139997.41134751774,150740.5303030303,109.47619047619048,156.91666666666666,9262.590001522576,9370.092549104857,6467.730148870721,6673.078018469179,hard,5.0,1.2589288517948717e6,1179.1622091898441,1.2589333674e6,1177.8251303914076
10,3,0.005,1.0,12589254,1.2589254e7,0,0,7.069521355276492e-6,0,7.069521355276492e-6,0.0,200000,200000,144669.36111111112,138905.12949640286,147121.9776119403,111.3157894736842,176.64285714285714,131151.69704134244,133265.7264029506,91264.55946047809,93024.81690895546,hard,5.0,1.2589327373358974e7,3719.6324551418547,1.258934991571282e7,3732.371695736372
10,3,0.005,1.0,158489,158489.0,0,0,0.0011167967493012133,0,0.0011167967493012133,0.0,200000,200000,1299.5555555555557,149994.22307692308,162628.89682539683,27.2,84.83333333333333,693.5060600141751,702.7848064228491,894.0378094554842,987.7844047394943,hard,5.0,158491.18036923077,418.37210247528145,158489.9875230769,418.1693806389608
10,3,0.005,1.0,1584893,1.584893e6,0,0,6.56195717944366e-5,0,6.56195717944366e-5,0.0,200000,200000,14860.52,158850.32,164255.62903225806,131.4,57.5,11692.791045348431,11811.181457211935,8555.708355598437,8751.403664899457,hard,5.0,1.584900887128205e6,1321.1852479053898,1.5848991228820514e6,1323.1738004033625
10,3,0.005,1.0,15848931,1.5848931e7,0,0,5.615520693477686e-6,0,5.615520693477686e-6,0.0,200000,200000,209687.41176470587,173237.232,171000.12598425196,38.0,94.57142857142857,145714.79590673433,148046.48197104112,104749.49655246036,106810.63120343824,hard,5.0,1.5849048482235897e7,4189.282356355002,1.5849016434225641e7,4182.929796718712
10,3,0.005,1.0,199526,199526.0,0,0,0.0008419955294046891,0,0.0008419955294046891,0.0,200000,200000,1158.904761904762,150603.4060150376,172646.25203252034,30.53846153846154,21.333333333333332,919.5655241660338,927.1867095373833,1124.991615992409,1230.5955888963517,hard,5.0,199527.09406666667,469.30456673739263,199525.43657948717,469.40673004011944
10,3,0.005,1.0,1995262,1.995262e6,0,0,5.1121105899876806e-5,0,5.1121105899876806e-5,0.0,200000,200000,18640.95238095238,166765.54032258064,166825.9842519685,264.5,101.71428571428571,15765.09207395428,15932.329909886124,11367.982036170572,11609.32588201515,hard,5.0,1.9952762052205128e6,1484.5778852589422,1.9952676960205128e6,1487.2803505558402
10,3,0.005,1.0,19952623,1.9952623e7,0,0,4.460566412746835e-6,0,4.460566412746835e-6,0.0,200000,200000,275075.3846153846,161164.78294573643,175655.28925619836,260.8888888888889,5.0,194112.09853861967,197505.32859229392,134597.2518061867,136878.87249292468,hard,5.0,1.9952742347215384e7,4700.046109493144,1.99527350752e7,4689.694749060396
10,3,0.005,1.0,251188,251188.0,0,0,0.0006250298581142412,0,0.0006250298581142412,0.0,200000,200000,2073.7,161649.34108527133,174636.86991869917,42.888888888888886,5.0,1215.1847387918954,1229.0956447417632,1357.1687015603193,1481.6220072409794,hard,5.0,251188.50926666666,526.2224383004007,251189.36383589744,526.9935448189632
10,3,0.005,1.0,2511886,2.511886e6,0,0,3.821829493854419e-5,0,3.821829493854419e-5,0.0,200000,200000,22752.535714285714,156068.2015503876,161472.82170542635,107.33333333333333,81.0,21071.138028085887,21306.30316699905,14850.417627151071,15164.344346212718,hard,5.0,2.5118923261179486e6,1665.936468364924,2.5118989478615383e6,1664.6306465693635
10,3,0.005,1.0,25118864,2.5118864e7,0,0,3.3441002745984057e-6,0,3.3441002745984057e-6,0.0,200000,200000,366574.7727272727,144826.93984962406,164415.60317460317,191.69230769230768,278.1666666666667,258257.25887878446,262808.64017489576,187609.52684284913,191135.02931262564,hard,5.0,2.5119033711215384e7,5274.099056697173,2.511903330762564e7,5276.299192052558
10,3,0.005,1.0,316227,316227.0,0,0,0.00045853137145152056,0,0.00045853137145152056,0.0,200000,200000,1935.2941176470588,154375.22222222222,156772.12403100776,33.5,25.333333333333332,1643.595896875666,1661.3544208385194,1715.8332354700567,1850.2048438865686,hard,5.0,316227.18184615386,591.5529730821536,316228.97301538463,589.5945335381393
