L,r,N,J,T,trials,extinction time
40.0,0.0,251.0,0.005,1.0e10,1000.0,482.082
40.0,0.0,6309.0,0.005,1.0e10,1000.0,10863.269
40.0,0.0,158489.0,0.001,1.0e10,1000.0,261918.353
40.0,0.0,251.0,0.01,1.0e10,1000.0,433.006
40.0,0.0,25118.0,0.02,1.0e10,1000.0,11095.976
40.0,0.0,630957.0,0.005,1.0e10,1000.0,203012.152
40.0,0.0,251.0,0.02,1.0e10,1000.0,413.346
40.0,0.0,39810.0,0.01,1.0e10,1000.0,30146.905
40.0,0.0,1.0e6,0.01,1.0e10,1000.0,75686.549
40.0,0.0,398.0,0.001,1.0e10,1000.0,864.707
40.0,0.0,39810.0,0.001,1.0e10,1000.0,67335.704
40.0,0.0,398.0,0.005,1.0e10,1000.0,728.0
40.0,0.0,10000.0,0.02,1.0e10,1000.0,7565.303
40.0,0.0,251188.0,0.01,1.0e10,1000.0,57648.55
40.0,0.0,398.0,0.01,1.0e10,1000.0,701.296
40.0,0.0,63095.0,0.001,1.0e10,1000.0,107701.792
40.0,0.0,398.0,0.02,1.0e10,1000.0,647.483
40.0,0.0,3981.0,0.01,1.0e10,1000.0,5848.284
40.0,0.0,158489.0,0.01,1.0e10,1000.0,50992.071
40.0,0.0,630.0,0.001,1.0e10,1000.0,1244.066
40.0,0.0,25118.0,0.005,1.0e10,1000.0,36061.075
40.0,0.0,630.0,0.005,1.0e10,1000.0,1108.13
40.0,0.0,10000.0,0.005,1.0e10,1000.0,15673.569
40.0,0.0,398107.0,0.001,1.0e10,1000.0,618484.5
40.0,0.0,630.0,0.01,1.0e10,1000.0,1036.928
40.0,0.0,3981.0,0.001,1.0e10,1000.0,6966.049
40.0,0.0,100000.0,0.02,1.0e10,1000.0,15972.153
40.0,0.0,100.0,0.001,1.0e10,1000.0,218.025
40.0,0.0,6309.0,0.01,1.0e10,1000.0,9067.492
40.0,0.0,100000.0,0.005,1.0e10,1000.0,95066.066
40.0,0.0,630.0,0.02,1.0e10,1000.0,991.044
40.0,0.0,10000.0,0.01,1.0e10,1000.0,13495.938
40.0,0.0,398107.0,0.005,1.0e10,1000.0,175278.357
40.0,0.0,1000.0,0.001,1.0e10,1000.0,1864.762
40.0,0.0,63095.0,0.01,1.0e10,1000.0,36969.136
40.0,0.0,1.0e6,0.02,1.0e10,1000.0,23275.973
40.0,0.0,1000.0,0.005,1.0e10,1000.0,1705.037
40.0,0.0,15848.0,0.005,1.0e10,1000.0,24461.58
40.0,0.0,1.0e6,0.001,1.0e10,1000.0,1.311560502e6
40.0,0.0,1000.0,0.01,1.0e10,1000.0,1743.874
40.0,0.0,39810.0,0.02,1.0e10,1000.0,12795.965
40.0,0.0,398107.0,0.02,1.0e10,1000.0,20460.401
40.0,0.0,1000.0,0.02,1.0e10,1000.0,1506.387
40.0,0.0,10000.0,0.001,1.0e10,1000.0,16643.397
40.0,0.0,630957.0,0.001,1.0e10,1000.0,895463.575
40.0,0.0,1584.0,0.001,1.0e10,1000.0,2992.536
40.0,0.0,63095.0,0.005,1.0e10,1000.0,69766.041
40.0,0.0,1584.0,0.005,1.0e10,1000.0,2722.043
40.0,0.0,15848.0,0.01,1.0e10,1000.0,18785.762
40.0,0.0,630957.0,0.02,1.0e10,1000.0,21926.152
40.0,0.0,1584.0,0.01,1.0e10,1000.0,2615.231
40.0,0.0,2511.0,0.02,1.0e10,1000.0,3302.055
40.0,0.0,100000.0,0.001,1.0e10,1000.0,162189.408
40.0,0.0,1584.0,0.02,1.0e10,1000.0,2240.013
40.0,0.0,15848.0,0.001,1.0e10,1000.0,27403.524
40.0,0.0,630957.0,0.01,1.0e10,1000.0,70157.692
40.0,0.0,2511.0,0.001,1.0e10,1000.0,4475.263
40.0,0.0,63095.0,0.02,1.0e10,1000.0,14568.747
40.0,0.0,1.0e6,0.005,1.0e10,1000.0,228771.613
40.0,0.0,100.0,0.005,1.0e10,1000.0,199.696
40.0,0.0,3981.0,0.02,1.0e10,1000.0,4560.045
40.0,0.0,251188.0,0.001,1.0e10,1000.0,399771.526
40.0,0.0,2511.0,0.005,1.0e10,1000.0,4238.794
40.0,0.0,25118.0,0.01,1.0e10,1000.0,24013.247
40.0,0.0,251188.0,0.02,1.0e10,1000.0,18866.221
40.0,0.0,100.0,0.01,1.0e10,1000.0,188.987
40.0,0.0,15848.0,0.02,1.0e10,1000.0,9237.805
40.0,0.0,398107.0,0.01,1.0e10,1000.0,63133.65
40.0,0.0,100.0,0.02,1.0e10,1000.0,177.177
40.0,0.0,2511.0,0.01,1.0e10,1000.0,3971.929
40.0,0.0,100000.0,0.01,1.0e10,1000.0,43668.46
40.0,0.0,158.0,0.001,1.0e10,1000.0,354.26
40.0,0.0,25118.0,0.001,1.0e10,1000.0,43209.138
40.0,0.0,158.0,0.005,1.0e10,1000.0,307.114
40.0,0.0,6309.0,0.001,1.0e10,1000.0,10757.783
40.0,0.0,251188.0,0.005,1.0e10,1000.0,149673.227
40.0,0.0,158.0,0.01,1.0e10,1000.0,286.559
40.0,0.0,3981.0,0.005,1.0e10,1000.0,6704.896
40.0,0.0,158489.0,0.005,1.0e10,1000.0,122294.916
40.0,0.0,158.0,0.02,1.0e10,1000.0,272.487
40.0,0.0,6309.0,0.02,1.0e10,1000.0,5990.7
40.0,0.0,158489.0,0.02,1.0e10,1000.0,17590.636
40.0,0.0,251.0,0.001,1.0e10,1000.0,571.103
40.0,0.0,39810.0,0.005,1.0e10,1000.0,52018.888
