L,d,J,Jprop,NX,NY,rR_random,rH_random,rR_hosthost,rH_phagephage,rH_phagehost,rH_3body,GenePersisentTime,mean_establish_size,persTimeHost,persTimePhage,gapTimeHost,gapTimePhage,theta_GH,theta_GP,theta_gH,theta_gP,constraint,soft_threshold
15,2,0.005,1.0,1000000,1.0e6,3.981071705534972e-5,3.981071705534972e-5,0.0,0.0,0.0,0.0,200000,14343.679389312978,16951.81766917293,17729.3320610687,221.67361111111111,186.92470588235295,13343.522886293274,13563.315579012457,11952.839457393433,12147.705632487632,hard,5.0
15,2,0.005,1.0,1000000,1.0e6,0.0,0.0,3.981071705534972e-5,0.0,3.981071705534972e-5,0.0,200000,16023.171161825727,10600.176915799433,11375.08091286307,315.7731092436975,318.9453488372093,15984.77098433602,16329.840077540528,13866.553689523778,14303.521034181329,hard,5.0
15,2,0.005,1.0,1000000,1.0e6,0.00015848931924611134,0.00015848931924611134,0.0,0.0,0.0,0.0,200000,0,0,0,0,0,3333.687941496227,3355.365666396502,2952.2781700012238,2970.4451099264083,hard,5.0
15,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.001,0.0,0.001,0.0,200000,0,0,0,0,0,705.5386030663467,724.1728801147214,1517.9080624318428,1664.0384921090815,hard,5.0
15,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.00015848931924611134,0.0,0.00015848931924611134,0.0,200000,0,0,0,0,0,4006.0140718795196,4042.688971112144,4290.097366953961,4477.466270334601,hard,5.0
15,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.01,0.0,0.01,0.0,200000,0,0,0,0,0,72.15944529155145,83.36371924069714,164.67964508091762,236.49176296870627,hard,5.0
15,2,0.005,1.0,1000000,1.0e6,1.0e-6,1.0e-6,0.0,0.0,0.0,0.0,58335,0,0,0,0,0,NaN,NaN,NaN,NaN,hard,5.0
15,2,0.005,1.0,1000000,1.0e6,0.0025118864315095803,0.0025118864315095803,0.0,0.0,0.0,0.0,200000,0,0,0,0,0,200.47198331258966,201.67974183619296,181.2945455860239,177.56605593933938,hard,5.0
15,2,0.005,1.0,1000000,1.0e6,0.0,0.0,1.0e-6,0.0,1.0e-6,0.0,61560,0,0,0,0,0,NaN,NaN,NaN,NaN,hard,5.0
15,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.00039810717055349724,0.0,0.00039810717055349724,0.0,200000,0,0,0,0,0,1690.4658084762827,1713.0757736779588,3152.042242909093,3311.686298737764,hard,5.0
15,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0039810717055349725,0.0,0.0039810717055349725,0.0,200000,0,0,0,0,0,174.7365468807373,191.52607335578736,372.7184233055215,481.71219363236065,hard,5.0
15,2,0.005,1.0,1000000,1.0e6,0.000251188643150958,0.000251188643150958,0.0,0.0,0.0,0.0,200000,0,0,0,0,0,2023.7727862965805,2028.7894991848816,1775.3230644545283,1788.9848378431188,hard,5.0
15,2,0.005,1.0,1000000,1.0e6,0.0,0.0,6.309573444801932e-5,0.0,6.309573444801932e-5,0.0,200000,11110.238532110092,28936.47333333333,30544.256880733945,152.79746835443038,80.18518518518519,10008.914730030014,10150.632992056271,9082.843557738926,9389.644499887232,hard,5.0
15,2,0.005,1.0,1000000,1.0e6,6.309573444801932e-5,6.309573444801932e-5,0.0,0.0,0.0,0.0,200000,10967.17857142857,29760.594594594593,38153.57142857143,17.5,23.75,8857.536970855514,8944.725256097714,7410.42860167494,7510.127471174717,hard,5.0
15,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0025118864315095803,0.0,0.0025118864315095803,0.0,200000,0,0,0,0,0,279.2390017005343,296.01637890622453,602.3785966391403,718.0170289948171,hard,5.0
15,2,0.005,1.0,1000000,1.0e6,2.51188643150958e-5,2.51188643150958e-5,0.0,0.0,0.0,0.0,200000,21829.071859903383,7244.888507718696,7566.559178743962,460.2566909975669,450.18568665377177,20277.463622200754,20754.29792305061,17396.337620291124,17749.20977982004,hard,5.0
15,2,0.005,1.0,1000000,1.0e6,1.584893192461113e-5,1.584893192461113e-5,0.0,0.0,0.0,0.0,200000,34195.50617283951,4185.707060420909,4253.20438957476,834.0939809926082,818.3479188900747,32565.514810847468,33823.9775424069,29427.840111511086,30389.166741974943,hard,5.0
15,2,0.005,1.0,1000000,1.0e6,0.006309573444801933,0.006309573444801933,0.0,0.0,0.0,0.0,200000,0,0,0,0,0,79.94604472880444,80.05688054367928,71.12994633881597,70.1592435089692,hard,5.0
15,2,0.005,1.0,1000000,1.0e6,0.0,0.0,2.51188643150958e-5,0.0,2.51188643150958e-5,0.0,200000,23941.626945309024,5686.414494034468,5818.899510893731,604.0769230769231,589.679104477612,24036.202013837203,24827.70829102883,21413.496776658594,22213.40796260478,hard,5.0
15,2,0.005,1.0,1000000,1.0e6,0.0,0.0,1.584893192461113e-5,0.0,1.584893192461113e-5,0.0,200000,38488.10988674625,3563.6051014136447,3560.8934802571166,1041.4522070498572,1023.9784946236559,37297.872286397025,39074.99691043957,33877.64192103986,35790.234755936304,hard,5.0
15,2,0.005,1.0,1000000,1.0e6,1.0e-5,1.0e-5,0.0,0.0,0.0,0.0,200000,52767.380993897124,3112.0693215339234,3045.776518453938,1361.110197869102,1360.017386091127,49696.669595740066,52213.64030186605,44877.26760186141,47251.257250224546,hard,5.0
15,2,0.005,1.0,1000000,1.0e6,0.0015848931924611134,0.0015848931924611134,0.0,0.0,0.0,0.0,200000,0,0,0,0,0,313.95442537533535,315.1467657951695,273.7390953312047,271.42947890071497,hard,5.0
15,2,0.005,1.0,1000000,1.0e6,0.0,0.0,1.0e-5,0.0,1.0e-5,0.0,200000,61330.07398910238,2778.441690962099,2734.765414396329,1678.7741353383458,1658.8642814902425,56678.39135150411,60209.220540643626,51954.43311991897,55848.846224523484,hard,5.0
15,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.000251188643150958,0.0,0.000251188643150958,0.0,200000,0,0,0,0,0,2642.57239095959,2667.872015023442,3899.277499303913,4072.4657913939377,hard,5.0
15,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0015848931924611134,0.0,0.0015848931924611134,0.0,200000,0,0,0,0,0,441.31099178393316,462.46081124684804,952.7378319577031,1088.0488097057187,hard,5.0
15,2,0.005,1.0,1000000,1.0e6,2.51188643150958e-6,2.51188643150958e-6,0.0,0.0,0.0,0.0,66469,0,0,0,0,0,NaN,NaN,NaN,NaN,hard,5.0
15,2,0.005,1.0,1000000,1.0e6,0.0039810717055349725,0.0039810717055349725,0.0,0.0,0.0,0.0,200000,0,0,0,0,0,126.09931230504718,126.53346393460927,111.23854118886592,110.36519120912912,hard,5.0
15,2,0.005,1.0,1000000,1.0e6,0.0,0.0,1.58489319246111e-6,0.0,1.58489319246111e-6,0.0,64551,0,0,0,0,0,NaN,NaN,NaN,NaN,hard,5.0
15,2,0.005,1.0,1000000,1.0e6,0.0,0.0,2.51188643150958e-6,0.0,2.51188643150958e-6,0.0,64710,0,0,0,0,0,NaN,NaN,NaN,NaN,hard,5.0
15,2,0.005,1.0,1000000,1.0e6,3.98107170553497e-6,3.98107170553497e-6,0.0,0.0,0.0,0.0,98299,0,0,0,0,0,NaN,NaN,NaN,NaN,hard,5.0
15,2,0.005,1.0,1000000,1.0e6,0.00039810717055349724,0.00039810717055349724,0.0,0.0,0.0,0.0,200000,0,0,0,0,0,1267.2867282967366,1266.4648059979377,1112.5942829447497,1104.6555835759132,hard,5.0
15,2,0.005,1.0,1000000,1.0e6,1.58489319246111e-6,1.58489319246111e-6,0.0,0.0,0.0,0.0,60652,0,0,0,0,0,NaN,NaN,NaN,NaN,hard,5.0
15,2,0.005,1.0,1000000,1.0e6,0.0,0.0,3.98107170553497e-6,0.0,3.98107170553497e-6,0.0,71324,0,0,0,0,0,NaN,NaN,NaN,NaN,hard,5.0
